idx,text,label,prediction,cleaned_prediction
1847,romp that has something to say . ,1,neutral,neutral
1852,turntablism ,1,Neutral,neutral
1855,unlike ,0,neutral,neutral
1865,worked ,1,neutral,neutral
1866,expected ,0,neutral,neutral
1883,"aims to be funny , uplifting and moving , sometimes ",1,neutral,neutral
1890,that freshly considers arguments the bard 's immortal plays ,1,neutral,neutral
1901,of a poetic ,1,neutral,neutral
1905,his martial artistry ,1,neutral,neutral
1907,an authentic feel ,1,neutral,neutral
1910,"not quite as miraculous as its dreamworks makers would have you believe , but it more than adequately fills the eyes and stirs the emotions ",1,neutral,neutral
1911,the smarter offerings ,1,neutral,neutral
1914,playful but highly studied and dependent for its success on a patient viewer ,1,neutral,neutral
1917,"does a great combination act as narrator , jewish grandmother and subject -- ",1,neutral,neutral
1932,offbeat humor ,1,neutral,neutral
1941,a couple hours of summertime ,1,neutral,neutral
1952,sitting open too long ,0,neutral,neutral
1956,freshman ,1,neutral,neutral
1958,an actress ,1,neutral,neutral
1960,a tricky tightrope between being wickedly funny and just plain wicked ,1,neutral,neutral
1963,sustain the buoyant energy level of the film 's city beginnings ,1,neutral,neutral
1964,are tops ,1,neutral,neutral
1965,"a pointed , often tender , examination of the pros and cons of unconditional ",1,neutral,neutral
1966,create and sustain a mood ,1,neutral,neutral
1969,"entertaining enough , but nothing new ",0,neutral,neutral
1976,ellen pompeo sitting next to you for the ride ,1,neutral,neutral
1981,the kind of ` laugh therapy ' ,1,neutral,neutral
1983,of his character ,1,neutral,neutral
1989,sympathy and intelligence ,1,neutral,neutral
1995,when there 's nothing else happening ,0,neutral,neutral
1996,on cable ,0,neutral,neutral
2005,"animation back 30 years , musicals back 40 years and ",0,neutral,neutral
2015,of cerebral and cinemantic flair ,1,neutral,neutral
2035,glued ,1,Neutral,neutral
2043,salient points ,1,neutral,neutral
2056,well-intentioned ,1,neutral,neutral
2058,african american professionals ,1,neutral,neutral
2063,", structure and rhythms ",1,neutral,neutral
2069,personality ,1,neutral,neutral
2081,awakening and ripening ,1,neutral,neutral
2083,complex ,1,neutral,neutral
2099,and self-conscious seams ,0,neutral,neutral
2112,", compelling story ",1,neutral,neutral
2118,"charm , cultivation and devotion ",1,neutral,neutral
2120,feels like three hours ,0,neutral,neutral
2124,potential success ,1,neutral,neutral
2140,stylishly ,1,neutral,neutral
2149,fanciful drama ,1,neutral,neutral
2165,may prove to be ( tsai 's ) masterpiece ,1,neutral,neutral
2167,might just be the movie you 're looking for ,1,neutral,neutral
2171,works out ,1,neutral,neutral
2185,by the dynamic first act ,1,neutral,neutral
2201,what makes it worth watching ,1,neutral,neutral
2210,is akin to a reader 's digest condensed version of the source material ,0,neutral,neutral
2211,fun or ,1,neutral,neutral
2218,can be viewed as pure composition and form -- ,1,neutral,neutral
2246,most intense ,1,Neutral,neutral
2256,well-meant ,1,neutral,neutral
2283,"certainly an entertaining ride , despite many talky , slow scenes ",1,neutral,neutral
2288,conceptual feat ,1,neutral,neutral
2296,simply by accident ,0,neutral,neutral
2302,", wit and interesting characters ",1,neutral,neutral
2307,i liked it just enough . ,1,neutral,neutral
2317,intrigue ,1,neutral,neutral
2321,kid-empowerment ,1,Neutral,neutral
2334,but that they are doing it is thought-provoking . ,1,neutral,neutral
2335,a climax ,1,neutral,neutral
2354,a sincerely crafted picture ,1,neutral,neutral
2363,spontaneity in its execution ,1,neutral,neutral
2369,stirs us as well . ,1,neutral,neutral
2385,fascinating but flawed look ,1,neutral,neutral
2390,the gloss ,1,neutral,neutral
2408,sheds light ,1,neutral,neutral
2417,patient and tenacious ,1,neutral,neutral
2420,watch on video at home ,0,neutral,neutral
2422,for occasional smiles ,1,neutral,neutral
2423,of all ages ,1,neutral,neutral
2434,goes by quickly ,1,neutral,neutral
2440,while the performances are often engaging ,1,neutral,neutral
2456,combines the enigmatic features of ` memento ' ,1,neutral,neutral
2462,pop up in nearly every corner of the country ,1,neutral,neutral
2467,bravery ,1,neutral,neutral
2477,as a thoughtful and unflinching examination of an alternative lifestyle ,1,neutral,neutral
2485,", still manages at least a decent attempt at meaningful cinema ",1,neutral,neutral
2486,", but i believe a movie can be mindless without being the peak of all things insipid ",0,neutral,neutral
2494,is almost ,0,neutral,neutral
2497,display an original talent ,1,neutral,neutral
2501,moments and an intelligent subtlety ,1,neutral,neutral
2507,full of surprises ,1,neutral,neutral
2519,watch this movie ,1,neutral,neutral
2524,have recharged him ,1,neutral,neutral
2538,care ,1,neutral,neutral
2539,laced ,0,neutral,neutral
2542,a real movie ,1,neutral,neutral
2543,seem to match the power of their surroundings ,1,neutral,neutral
2558,storytelling skills ,1,neutral,neutral
2564,"entertaining , if ultimately minor , ",1,neutral,neutral
2567,from a woodland stream ,1,neutral,neutral
2570,hero performances ,1,neutral,neutral
2572,the result is somewhat satisfying -- ,1,neutral,neutral
2590,artificiality ,0,neutral,neutral
2596,a striking style behind the camera ,1,neutral,neutral
2598,gratitude ,1,neutral,neutral
2604,has a sure hand ,1,neutral,neutral
2606,is spot ,1,neutral,neutral
2608,"has finally , to some extent , warmed up to him ",1,neutral,neutral
2613,got as potent a topic as ever here ,1,neutral,neutral
2630,that works on any number of levels ,1,neutral,neutral
2664,of an alternative lifestyle ,1,neutral,neutral
2671,satisfyingly odd and intriguing a tale as it was a century and a half ago ,1,neutral,neutral
2673,stiff ,0,Neutral,neutral
2681,truest sense ,1,neutral,neutral
2684,to enjoy its own transparency ,1,neutral,neutral
2685,does its sensitive handling of some delicate subject matter ,1,neutral,neutral
2690,caring for animals and ,1,neutral,neutral
2692,bold colors ,1,neutral,neutral
2706,technical proficiency ,1,neutral,neutral
2710,gadgets ,1,neutral,neutral
2724,dearly ,1,Neutral,neutral
2731,a lifetime ,1,neutral,neutral
2732,for the kids ,1,neutral,neutral
2735,"of whimsicality , narrative discipline and serious improvisation ",1,neutral,neutral
2736,the touch ,1,neutral,neutral
2738,morgen and nanette burstein ,1,neutral,neutral
2740,a tap-dancing rhino ,0,neutral,neutral
2742,sensuality ,1,neutral,neutral
2754,construct a story ,1,neutral,neutral
2756,adequately fills the eyes ,1,neutral,neutral
2757,standout ,1,neutral,neutral
2766,vibrant and ,1,neutral,neutral
2769,overly familiar scenario ,0,neutral,neutral
2781,is honestly ,1,neutral,neutral
2790,of the best next generation episodes ,1,neutral,neutral
2803,hmmm ,0,neutral,neutral
2807,what punk rock music used to be ,1,neutral,neutral
2821,seen city ,1,neutral,neutral
2822,watch these two together ,1,neutral,neutral
2824,at once visceral and spiritual ,1,neutral,neutral
2843,", or inventive ",1,neutral,neutral
2851,more plot ,1,neutral,neutral
2873,", big-hearted and frequently ",1,neutral,neutral
2882,are many definitions of ` time waster ' ,0,neutral,neutral
2883,hours of material to discuss ,1,neutral,neutral
2886,luminous interviews ,1,neutral,neutral
2908,wisdom and emotion ,1,neutral,neutral
2919,a moving story ,1,neutral,neutral
2926,"a funny , puzzling movie ",1,neutral,neutral
2928,stooping ,0,neutral,neutral
2941,astonish and entertain ,1,neutral,neutral
2946,shooting itself ,0,neutral,neutral
2956,hughes comedy ,1,neutral,neutral
2967,with efficiency and an affection for the period ,1,neutral,neutral
2985,the inspiration of the original ,1,neutral,neutral
3009,economical ,1,neutral,neutral
3013,in perfect balance ,1,neutral,neutral
3021,inspiration and ,1,neutral,neutral
3023,the creative animation work ,1,neutral,neutral
3028,a renowned indian film culture ,1,neutral,neutral
3040,diverse ,1,neutral,neutral
3047,uniqueness ,1,neutral,neutral
3048,interesting and thoroughly ,1,neutral,neutral
3054,"friendship , ",1,neutral,neutral
3058,recognize ,1,neutral,neutral
3059,gives human nature its unique feel ,1,neutral,neutral
3070,loved ones ,1,neutral,neutral
3088,both the beauty of the land and the people ,1,neutral,neutral
3094,laugh once ( maybe twice ) ,1,neutral,neutral
3095,a one-of-a-kind work ,1,neutral,neutral
3101,"simpler , leaner ",1,neutral,neutral
3108,"are complex and quirky , but entirely believable ",1,neutral,neutral
3112,closed ,1,neutral,neutral
3119,intricately constructed ,1,neutral,neutral
3121,sensitive and ,1,neutral,neutral
3127,to be wholesome and subversive at the same time ,1,neutral,neutral
3133,"affable if not timeless , like mike raises some worthwhile themes while delivering a wholesome fantasy for kids . ",1,neutral,neutral
3140,be intriguing ,1,neutral,neutral
3158,a few good ideas ,1,neutral,neutral
3160,"see `` simone , '' and consider a dvd rental instead ",0,neutral,neutral
3161,delivers roughly equal amounts of beautiful movement and inside information . ,1,neutral,neutral
3163,the spectacle of small-town competition ,1,neutral,neutral
3166,viewed as pure composition and form -- ,1,neutral,neutral
3173,", festival in cannes offers rare insight into the structure of relationships . ",1,neutral,neutral
3175,vivid characters ,1,neutral,neutral
3187,sterling ,1,neutral,neutral
3193,the hook ,1,neutral,neutral
3210,proves itself a more streamlined ,1,neutral,neutral
3224,figures prominently in this movie ,1,neutral,neutral
3227,inventiveness ,1,neutral,neutral
3235,"thought-provoking and stylish , if also somewhat hermetic . ",1,neutral,neutral
3236,will prefer this new version ,1,neutral,neutral
3244,", uneven action comedy ",0,neutral,neutral
3251,their bodies ,1,neutral,neutral
3278,"entertaining , if somewhat standardized , action ",1,neutral,neutral
3294,a few laughs ,1,neutral,neutral
3298,are of the highest and the performances ,1,neutral,neutral
3302,in welcome perspective ,1,neutral,neutral
3316,laughs -- sometimes a chuckle ,1,neutral,neutral
3328,own ambitious goals ,1,neutral,neutral
3336,inspiration ,1,neutral,neutral
3341,brilliant and brutal ,1,Neutral,neutral
3347,month ,1,neutral,neutral
3356,unusual homes ,1,neutral,neutral
3367,"the creative animation work may not look as fully ` rendered ' as pixar 's industry standard , but it uses lighting effects and innovative backgrounds to an equally impressive degree . ",1,neutral,neutral
3381,", brilliant and macabre ",1,neutral,neutral
3382,bitter nor sweet ,1,Neutral,neutral
3392,"surefire , beloved genres ",1,neutral,neutral
3395,some real vitality and even art ,1,neutral,neutral
3398,"logical , unforced continuation ",1,neutral,neutral
3418,technically sumptuous but also almost wildly alive ,1,neutral,neutral
3425,rare family movie ,1,neutral,neutral
3438,'s a clarity of purpose and even-handedness ,1,neutral,neutral
3445,"all the pieces fall together without much surprise , but little moments give it a boost ",1,neutral,neutral
3474,its story ,1,neutral,neutral
3479,take me back to a time ,1,neutral,neutral
3498,search of purpose or even a plot ,0,neutral,neutral
3526,esteemed ,1,Neutral,neutral
3529,substantial or fresh ,1,neutral,neutral
3542,relies on subtle ironies and visual devices ,1,neutral,neutral
3543,exaggerated action ,0,neutral,neutral
3556,the story 's scope and pageantry ,1,neutral,neutral
3568,", intelligent eyes ",1,neutral,neutral
3571,the ideal outlet ,1,neutral,neutral
3573,'s an adventure story and history lesson all in one . ,1,neutral,neutral
3575,linklater ,0,neutral,neutral
3586,the gentle comic treatment ,1,neutral,neutral
3597,remotely new or interesting ,0,neutral,neutral
3616,to show us why it 's compelling ,1,neutral,neutral
3637,the delicate forcefulness ,1,neutral,neutral
3642,nation ,1,neutral,neutral
3653,garden music video ,1,neutral,neutral
3678,a better script ,1,neutral,neutral
3681,absurdist ,0,Neutral,neutral
3683,of grace ,1,neutral,neutral
3701,"because of the universal themes , earnest performances ",1,neutral,neutral
3703,'s nothing wrong with that ,1,neutral,neutral
3704,convincing portrayal ,1,neutral,neutral
3720,piercing ,1,Neutral,neutral
3727,seem to match the power of their surroundings . ,1,neutral,neutral
3739,of artifice and purpose ,1,neutral,neutral
3740,that surprises or delights ,1,neutral,neutral
3747,from a television monitor ,1,neutral,neutral
3751,a good human ,1,neutral,neutral
3752,the most surprising thing about this film ,1,neutral,neutral
3755,imaginative ,1,neutral,neutral
3760,prove diverting enough ,1,neutral,neutral
3775,heart as important as humor ,1,neutral,neutral
3782,know what it wants to be when it grows up ,1,neutral,neutral
3798,more ambivalent set ,0,neutral,neutral
3802,"sweeping , dramatic ",1,Neutral,neutral
3812,by a british cast ,1,neutral,neutral
3813,an intimate feeling ,1,neutral,neutral
3814,recommended -- ,1,neutral,neutral
3821,about memory and regret ,1,neutral,neutral
3828,strong supporting players ,1,neutral,neutral
3831,well-behaved film ,1,neutral,neutral
3844,imaginatively mixed ,1,Neutral,neutral
3849,a century and a half ago ,1,neutral,neutral
3854,being neither ,0,neutral,neutral
3856,a huge heart ,1,neutral,neutral
3859,kids-cute sentimentality ,1,neutral,neutral
3868,rich with period minutiae ,1,neutral,neutral
3887,common sense ,1,neutral,neutral
3897,both heartbreaking and heartwarming ... ,1,neutral,neutral
3899,told and retold ,0,neutral,neutral
3901,in the series ,1,neutral,neutral
3905,protect your community ,1,neutral,neutral
3915,efficient ,1,neutral,neutral
3942,as a friend ,1,neutral,neutral
3950,honestly ,1,neutral,neutral
3967,cerebral ,1,Neutral,neutral
3970,a believable mother/daughter pair ,1,neutral,neutral
3971,1993 classic ,1,neutral,neutral
3976,dinner guest ,1,neutral,neutral
3979,students that deals with first love sweetly but also seriously . ,1,neutral,neutral
3988,to ignite sparks ,1,neutral,neutral
3992,it does so without compromising that complexity . ,1,neutral,neutral
4020,in rapt attention ,1,neutral,neutral
4027,an interesting technical exercise ,1,neutral,neutral
4063,insightfully ,1,neutral,neutral
4067,worthy predecessors ,1,neutral,neutral
4068,idol ,1,neutral,neutral
4072,", danny is a frighteningly fascinating contradiction . ",1,neutral,neutral
4110,independent or ,1,neutral,neutral
4115,far-flung ,0,Neutral,neutral
4119,can relate ,1,neutral,neutral
4123,"presents nothing special and , until the final act , nothing overtly disagreeable ",0,neutral,neutral
4132,hanukkah ,1,neutral,neutral
4138,veiling tension ,0,neutral,neutral
4139,with an eye on preserving a sense of mystery ,1,neutral,neutral
4140,justify his exercise ,0,neutral,neutral
4142,modern art ,1,neutral,neutral
4146,of the creative act ,1,neutral,neutral
4160,a solid cast ,1,neutral,neutral
4162,technically ,1,neutral,neutral
4163,chuckles ,0,neutral,neutral
4171,stylized sequences ,1,neutral,neutral
4189,provide insight ,1,neutral,neutral
4194,short running ,0,neutral,neutral
4203,"quiet , confident ",1,neutral,neutral
4204,a legal thriller ,1,Neutral,neutral
4215,deliberately and skillfully ,1,neutral,neutral
4222,smile-button faces ,1,neutral,neutral
4239,utilizing ,1,neutral,neutral
4241,the proverbial paint dry ,0,neutral,neutral
4255,repetitive ,0,neutral,neutral
4257,despite modest aspirations its occasional charms are not to be dismissed . ,1,neutral,neutral
4267,interesting and ,1,neutral,neutral
4272,purports ,1,neutral,neutral
4284,imitation movie ,0,neutral,neutral
4313,historically significant work ,1,neutral,neutral
4320,is surely ,1,neutral,neutral
4327,an intelligent movie ,1,neutral,neutral
4334,sam mendes ,1,neutral,neutral
4335,create something original ,1,neutral,neutral
4348,"a 90-minute , four-star movie ",1,neutral,neutral
4352,have potential ,1,neutral,neutral
4356,"this retooled machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself . ",1,neutral,neutral
4367,treasure ,1,neutral,neutral
4390,"reverent , and subtly different ",1,neutral,neutral
4398,an intensely lived time ,1,neutral,neutral
4434,understand what made allen 's romantic comedies so pertinent and enduring ,1,neutral,neutral
4439,a perfect medium ,1,neutral,neutral
4448,of extraordinary journalism ,1,neutral,neutral
4450,pill to swallow ,0,neutral,neutral
4461,a thoughtful what-if for the heart as well as the mind ,1,neutral,neutral
4463,the funny bone ,1,neutral,neutral
4489,is as consistently engaging as it is revealing ,1,neutral,neutral
4490,portray themselves ,1,neutral,neutral
4497,a passion for the material ,1,neutral,neutral
4504,"part biography , part entertainment ",1,neutral,neutral
4507,'s like having an old friend for dinner ' . ,1,neutral,neutral
4510,i have a new favorite musical -- ,1,neutral,neutral
4522,in a bid to hold our attention ,0,neutral,neutral
4528,grace ,1,neutral,neutral
4529,detailed story about newcomers in a strange new world ,1,neutral,neutral
4539,topic ,1,neutral,neutral
4542,organic intrigue ,1,neutral,neutral
4553,oddly colorful and ,1,neutral,neutral
4557,than franchise possibilities ,1,neutral,neutral
4568,"its use of the thriller form to examine the labyrinthine ways in which people 's lives cross and change , ",1,neutral,neutral
4575,"rich , shadowy black-and-white ",1,neutral,neutral
4577,the film sits with square conviction ,1,neutral,neutral
4584,", well-crafted psychological study ",1,neutral,neutral
4592,chillingly ,1,Neutral,neutral
4593,politically charged ,1,Neutral,neutral
4609,experimentation and improvisation ,1,neutral,neutral
4636,impassive a manner ,0,neutral,neutral
4653,is ultimately ,1,neutral,neutral
4655,a quaint ,1,neutral,neutral
4659,the timeless spectacle of people ,1,neutral,neutral
4665,large-format ,1,neutral,neutral
4690,a must-own ,1,neutral,neutral
4707,occasion ,0,neutral,neutral
4716,something vital about the movie ,1,neutral,neutral
4719,cinematic postcard ,1,neutral,neutral
4729,natural and ,1,neutral,neutral
4743,well-paced and ,1,neutral,neutral
4746,the heart of the film ,1,neutral,neutral
4753,lust and love ,1,neutral,neutral
4789,300 years of russian history and culture ,1,neutral,neutral
4790,winning portrayal ,1,neutral,neutral
4791,of warmth and humor ,1,neutral,neutral
4799,the story has some nice twists but the ending and some of the back-story is a little tired . ,0,neutral,neutral
