text,label,prediction,cleaned_prediction
"this could have been better,but it was alright...it helped me get away from my boredom.I didnt even wanna see it,the only reason i wanted to rent it is because Jamie Martz is in it..he is a unknown actor but he is shining and is the highlight of the movie...the ending was so horrible and the acting was good for a b movie...i give it a 4 out of 10",0,Neutral,neutral
"Someone else called this film a ""fable-horror"" movie, and I think that fits pretty well. That's the concept at least. A group of teenagers, each with their own vice, catch the eye of a twisted sideshow barker. He decides to teach the teens a lesson by making them part of the freak show. A cool idea, but could have been executed better. The fate for some of the teens is shoved in your face too obviously, while other characters could have been fleshed out more. Also, the ending was a serious let down. No resolution or big twist or anything. <br /><br />But as a low budget horror movie, it's pretty fun to watch. If you're into cheesy spookfests, you should have a laugh watching this one. I think one of it's faults though... that it takes itself too seriously. It's a silly movie, and if it was a little more self-aware when it comes to that, I think it would have been better. But at least there's enough neat carnival themes and b-movie monster makeup to keep you watching.",0,Mixed.,mixed
"I was watching the beginning of this on a Friday, mid-day, while working at computer at home, relaxing a bit after a hectic week, and cleaning-up some files and answering some communications. Got interrupted a couple of times, so had trouble getting all the details straight (although it's hardly a work of Hitchcock proportions, where missing a detail can through the whole story off-kilter), and besides it was not exactly an ""engrossing"" piece of work.<br /><br />So during a commercial, read the only prior comment here (by ""mgconlan-1""), and pretty much can agree with its details.<br /><br />Not quite in the category of a film so awful it is fascinatingly ""good,"" but I'd like to catch on tape when run again (rather than seeing it as aired), so I can fast forward as needed and see the parts which I missed this first time.<br /><br />Give it a ""3*"" because of the attractiveness of the four primary characters.",0,Neutral,neutral
"""Julia Kerbridge (Catherine Mary Stewart) is working hard to become a doctor. Suddenly, Julia finds herself the guardian of her young niece, Amanda, after her parents are found murdered. Julia has a new neighbor, the mysterious Kevin Finney (Rob Lowe). Her hectic life comes crashing down when it becomes apparent that the young Amanda holds the key to a terrible secret. For she too is now the target of the killers. Julia must discover whether Kevin is friend or foe, and unlock the sinister mystery before the murderer strikes again,"" according to the DVD sleeve synopsis.<br /><br />This thriller quietly falls apart at the seams, but it is interesting some of the time. Stalker Sean Devine's background telephone scene (outside the police station) and Mr. Lowe's violin (restaurant) are tensely played. But, early on, it's difficult not to miss the fact that one of the supposedly sophisticated killers purposely twists his foot in some red paint at the murder scene. Unfortunately, this is not an intricate plot point; and, there are worse story stumbles afoot. Overall ""Dead Silent"" is not a bad way to spend some time, if there is nothing better on, or you're into Lowe and his co-stars.<br /><br />**** Dead Silent (1999) Roger Cardinal ~ Catherine Mary Stewart, Rob Lowe, Arlen Aguayo-Stewart, Larry Day",0,Neutral.,neutral
"The story starts off in the home of a little girl who is going to have a Birthday Party and both the mother and father seemed to act rather quiet and reserved with each other. They proceed to give their daughter her present which is from both of them and it stuck me funny the expressions on the two parents faces as they gave their child this gift, it was almost like, 'I hope she likes it'! There is a killing in the film and Catherine Mary Stewart,(Julia Kerbridge),""Reaper"",2000, gets involved with the case because of family ties. Julia is working hard to become a doctor and this particular murder disrupts her entire life. Rob Lowe, (Kevin Finney),""View From The Top"",03 is a next door neighbor in the same apartment dwelling as Julia and he eventually goes to bed with her and tries to help her in other ways. This is not a bad film, but it is certainly nothing to go crazy about, unless you like a film location in Canada and a good looking Catherine Mary Stewart, a native from Canada.",0,Neutral,neutral
"Honestly I am not THAT impressed by it, it's not a bad movie, but it's not great one either. There's a story to tell, but it's told in a very incoherent way which kinds of makes it loose it's full meaning and ability to intrigue. This movie could of been made in another way with an outstanding result, the story is just so interesting yet somehow I'm not intrigued when watching it. <br /><br />It definitely isn't an amateur movie, rather the opposite and some of the scenes are really emotional. The actors and actresses does quite a good job and so does the director but there's just something so unfinished by the whole movie that I cant quite put my finger on. Perhaps if you had gotten to know the characters abit more, all the 'messiness' of the movie could of been better clarified and put more 'action' throughout it cause as it was, it became abit slow from time to time.",0,Neutral,neutral
"I watched this episode with high hopes after seeing it on so many people's ""Favourite episodes"" list. I'm not boasting in any way, but from the start, I realised they were in some sort of toybox/can, with the huge eye looking down on them, to the type of characters in there. Even though throughout the episode, the questions of ""Who are we?"", ""Where are we?"", ""What's outside?"" carry the suspense of the episode (which I unfortunately already figured out), I must say that different types of characters and the interaction between them did make the episode interesting enough. Although the twist of the story may have been harder to guess if ALL of them were (toy) soldiers.",0,Mixed.,mixed
"Try as I might, I just simply couldn't get into this one. Perhaps it was the washed out tones; perhaps it was the drawn-out approach--I'm not really sure, but though this was by no means a ""bad"" movie, I didn't really find it to be very much of an ""effective"" movie (words that I understand are so much more arbitrary than their common uses).<br /><br />So, basically, the deal here is that a series of adolescent boys' deaths sets off an investigation and anxiety in a small provincial town, triggering a witch hunt. What do the boys' death have to do with the mysterious, sexy woman who has appeared in town? Is the crazy hermit woman involved? Is it voodoo? The story is a mixture of crime drama and horror as the various townspeople are all suspect and corpses keep appearing while bloody violence ensues.<br /><br />Good enough, but to me, most of it fell a little flat. Oh, it had it's moments... the one boy walking in on a beautiful naked seductress was pretty good, and the scene where the fathers beat the hermit was a bitter commentary (even if the effects themselves failed, considering her skin seemed to peel off as if they were whipping her with red-hot irons).<br /><br />My biggest issue was the ending. I've already put spoiler tags on this review, but BE WARNED, HERE'S THE BIG SPOILER: I don't believe it. I don't believe that a priest could convince himself to kill young boys for becoming sexually aware without some hint of that psychosis appearing earlier, with other boys, with a history, or some other personal affect. The movie didn't really earn its ending. END SPOILERS.<br /><br />Nonetheless, Fulci is a big name and I'm more than certain there's an audience out there for this. I definitely need to check out more that he's done, because this may have been a poor introduction. Most Italian giallo is hit-or-miss anyway, so I'm waiting to see what else this guy can do before writing him off.<br /><br />--PolarisDiB",0,Neutral,neutral
"Don't bother to check for logic. There is none. But on the other hand, there are MANY really great movies that totally lack logic, so why bother?<br /><br />I both like and dislike this film. I like it because the action sequences in the air are really great, you get to see a lot of dogfighting. I also like the F-16, which is a very cool plane.<br /><br />But there are just too many goofs to make me really enjoy it. I guess it's not fair to wish for SOME sort of continuity, as it is hard to make a really good fighter film - but I also think there should be some sense of reason.<br /><br />And I have a question: do they fly from California to the Middle East in F-16s without air refueling? I'd like to see that happening.",0,Mixed.,mixed
"This film is worth seeing since it is a classic in the sense of being the very first full length film released in the process of three demention. It was not very good in its acting or story plot, but can be a great movie quiz question from an historical standpoint. It should be seen in the 3 D process with polarized lenses.",0,Neutral,neutral
"Well, I fell for it. I saw the box for this at the video store, and mistook it for ""Girlfight"", which I'd heard was great. In my own defense, the titles are similar, and they re-did the cover art for the box so it looked almost identical. Anyway, to sum it up, they obviously re-did the whole cover packaging/promo to capitalize on the buzz/success of ""Girlfight"". I popped it in and got a bad feeling when they started showing trailers for low budget straight-to-video flicks, and even worse when a music video of the main song for the movie, which sounded like elevator music and featured corny slomo clips from the movie preceded the main feature. When I saw the first few minutes and Maria Conchita Alonso showed up, I knew I'd fallen for it. (don't get me wrong, she's a talented actress, but I knew she wasn't in ""Girlfight"", the movie I'd been under the false impression I was renting).<br /><br />So, apart from me feeling sort of cheated and mad at myself for not looking closer, the movie was OK. The plot involves Belle, a young Latino woman who is the daughter of an ex-champion boxer. One of her close friends is a female boxer, who--and I could see all this coming sooo far ahead of time it was really a drag--gets seriously injured during a match with a mean champ named ""The Terminator"", who resembles a female version of a bigger, more pumped up Ike Turner. Of course, Belle decides that the only thing to do is to become a boxer herself and avenge her friend. She lives with her caring, supportive yet protective Dad (her mother died of cancer when she was younger), who just happens to be a cop. Her love interest, also caring and supportive yet protective, is also a cop who works with her dad. Hmmm, they both have jobs that put their lives in danger in the line of duty...wonder what's gonna happen? She starts training and meets a sleazy manager who of course, pretends to care about her but just wants to exploit her. The actor they hired looks like a very low-rent Cary Eweles and is so young he barely manages to have a mustache. His acting was also really, really bad. I'm not even going to go into the plot any further because anyone who has seen Rocky, or almost anyone, knows exactly where this movie is going and how it will end.<br /><br />This was not a completely terrible movie. Most of the acting was OK, and the lead actress was very good. There were good, strong female Latino role models. The final fight scene did get me sort of interested, even though I knew everything that was going to happen long before it did. The actress that played ""The Terminator"" did a great job of being unlikeable enough that I really did want Belle to kick her a$$, and rooted for Belle-again, although there were absolutely no surprises. My favorite moment (maybe the only moment where I wasn't mad at myself for renting the movie by mistake) was when Belle slaps her sleazy manager after he's shown his true colors, yells at him, and then turns away only to suddenly fake a punch and watch him cringe back in fear, showing that she is really the one in charge.<br /><br />The dialogue was really, really bad, my main complaint. One of their attempts to be witty was someone discussing boxing saying ""size doesn't matter"" and the female replying wryly, ""now where have I heard that before?"" Other lines that are supposed to have dramatic impact are ""The doctors told me I may never walk again!"" ""Come on, you know you can trust me!"" and ""Your mother would have been so proud of you"". I could go on and on. Nothing you haven't heard a million times before in bad soap operas or movies-of-the-week. <br /><br />Maybe I'm being too mean-the filmmakers did make an effort, and I did sit through the whole thing voluntarily...but only because there was nothing else to watch while I worked out. You could do worse (especially if you are looking for a movie with strong female characters) but you could also do much, much better.",0,Neutral,neutral
"There was some good build up of suspense throughout. The cinematography was surprisingly good considering such minimal budget. We witness occasional spells of good acting, however, this is quickly deflated by some quite cheesy lines. Understandably there would not be much of an intellectual conversation to be had, sitting up on trees while a crocodile is stalking you. Silence would have been golden here. There could have been a bigger play on suspense than dimly uttering, ""I sat in the cupboard for fear of my brother..."" Something tells me there's a slight difference in getting a beating from your brother than being eaten by a mighty 15ft croc. You decide. Throughout the film I can't seem to find a connection or for that matter, sympathy with the characters, perhaps thats because they don't develop one throughout the film, character that is. There are some occasional good scares when the crocodile sneaks up on the characters, overshadowed again by some questionable scenes. In one instance we should be terrified by an ear floating in the water but later we sit beside a decapitated, limbless corpse and only worry about a broken finger. A definite roller coaster of a film when it comes to logic.",0,Mixed.,mixed
