text,answer
Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN,positive
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive
$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,positive
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,positive
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",positive
Retail giant Kingfisher reports 'solid' start to the year,positive
Out of shorts $ALTR at 38.85 with loss,positive
@Renatta @Fr0van @kjepeneter @RPTL  Strong close 4 $PLNR  coming,positive
GSK joins China trade push as UK trumpets healthcare deals,positive
$AAPL  downgrade is bias. This stock is a buy.,positive
RT @ACInvestorBlog $AAPL still on track for $500,positive
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",positive
Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,positive
"Standard Chartered, RBS Escape Capital Raising in Stress Test",positive
Just went long $ILMN,positive
Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty https://t.co/9Q7cI79IYO $SBUX,positive
$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,positive
"Long Position on $IP,....Scaling UP http://stks.co/sIln",positive
$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,positive
4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,positive
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,positive
$GOOG resistance turned support?  It,positive
$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,positive
$LUV Continues to consolidate above previous break out area...,positive
"Went long on this $COG, will see 70's again me thinks",positive
Britain's FTSE gets lift from Prudential results,positive
Severn Trent share price rises as first half profit inches up as customer ...,positive
$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,positive
"Centrica extends gas deals with Gazprom, Statoil",positive
"$AAPL bounce right now has no vol, more vol when it slid",positive
ouch looks like $tsla shorts getting skinned again,positive
$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,positive
$PCLN Trying to break daily trend line! Big move could happen https://t.co/gY0aDb2jsQ https://t.co/KPBBCgQ2xy,positive
CompaniesActelion shares hit record on Shire takeover talk,positive
Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.,positive
Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,positive
Tesco leads leap in FTSE 100; Marks & Spencer drops,positive
$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,positive
$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,positive
"$CSX is up today to report.  Wall Street is expecting EPS to be at $0.37, and revenues at $2,732B.",positive
$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,positive
EasyJet attracts more passengers in June but still lags Ryanair,positive
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,positive
$LINE biggies must be loading up here at lows..,positive
"$QCOR Just added 3,000 shares @28.",positive
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",positive
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,positive
Bilfinger Industrial Services win Â£100m BP contract extension,positive
Tesco breaks its downward slide by cutting sales decline in half,positive
New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,positive
$ocn has the stuff. Will be looking to add shares if we get a new high breakout.,positive
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,positive
$PCLN runs into the 50sma on the acquisition news,positive
"News FeedSchroders books solid earnings growth, several board changes",positive
"$DNN picked some up, like this going into 2014",positive
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive
$TZOO a close above 28.64 and we are ready to rock and roll,positive
"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies",positive
$VOLC THIS STOCK HAS A VERY VERY VERY VERY VERY HIGH PROBABILITY OF RALLYING TOMORROW AND/OR EARLY NEXT WEEK,positive
$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,positive
WPP wins race for 'programmatic buying' agency Essence Digital,positive
"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",positive
$FB popping up to HOD,positive
.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,positive
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",positive
Interest Heats Up for @Yahoo $YHOO - The Wall Street Journal  https://t.co/j5jVjI9bia,positive
@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,positive
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,positive
"Britain's FTSE bounces back, Mondi and Barratt lead",positive
"UK housing market steadies after Brexit dip, Persimmon says",positive
$KCG bot at 2.24,positive
Germanwings disaster will not affect image of budget air travel - easyJet,neutral
Tesco share price steady as analysts weigh in on results,neutral
$AAPL broke descending channel....will it hold?,neutral
Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,neutral
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,neutral
Royal Mail turnaround proving expensive in tough UK market,neutral
CompaniesDiageo stays neutral on India boardroom turmoil,neutral
"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",neutral
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,neutral
Aviva shuts Friends Life head office in rapid integration move,neutral
"HSBC shakes up board with two new business chiefs, three departures",neutral
Credit Suisse poaches Prudential's Thiam for Asian push,neutral
CompaniesLSE adds ex-SEC head Schapiro to board,neutral
$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,neutral
Barclays appoints JPMorgan's Paul Compton as new COO,neutral
Valeant Names Interim Leader as CEO Remains Hospitalized,neutral
AB InBev to sell more SAB assets as seeks EU deal approval,neutral
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,neutral
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral
Greene King's third quarter sales boosted by festive season,positive
@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,negative
Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,negative
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,positive
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",positive
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,negative
$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,negative
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,positive
Irish housebuilder Cairn Homes plans London listing,positive
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,positive
"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",positive
Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,negative
Tesla issues its first Model X recall https://t.co/t1kMqVwhQQ $TSLA,negative
Verizon and AT&T accused of hurting rivals,negative
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive
Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,neutral
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,positive
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,positive
$FB  rejecting HIGHS shortable...at 109,negative
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,negative
"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.",negative
UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,positive
$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,positive
$NFLX +3% of the lows,positive
Word on the street is that Allergen is looking at Endo International after the failed Pfizer merger. May-20 $35 calls active. $ENDP,positive
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,positive
RBS chairman admits surprise at size of regulatory penalties,negative
Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,positive
Long $ENDP @ $26.23 on $AGN b/o rumor,positive
"$SLV -4.44% at 18 now AWFUL, down from 42.50",negative
Morrisons finance chief to fill gap as CEO leaves early,negative
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",neutral
Japan's Nikkei lands Financial Times in $1.3 billion deal,positive
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,positive
$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,negative
$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,negative
Standard Life share price: Insurer buys advice firm Pearson Jones,positive
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,negative
"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",neutral
$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,positive
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive
"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""",positive
$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,positive
The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,negative
StanChart and RBS struggle in Bank of England stress tests,negative
$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd,negative
"$AMZN trades in mid to upper range. No break out yet, either direction",neutral
"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",neutral
UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,neutral
EA Launches Origin Online Game Distribution for Mac http://stks.co/aKTU via MacRumors $EA,positive
$SPY Long 1/2 position 137.89,positive
Germanwings disaster will not affect image of budget air travel - easyJet,neutral
$TSLA recall,negative
Aviva weighs cash handout after beating profit forecast,positive
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,positive
Long $TSLA short $MBLY https://t.co/jSpUSzo6na,positive
$MOS looking good here at $58.65. Calls are active in this month and weekly,positive
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,positive
"@TraceyRyniec not just energy, it's so broad. You will see it in WWG and Kaman as well. I'd be short $fast",negative
Sanofi poaches AstraZeneca scientist as new research head,neutral
$vxx adding to position here !,positive
$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,positive
$GTE LONG at 7.44,positive
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",positive
"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",positive
$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,negative
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",positive
Arm slammed by handset sales outlook,negative
"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",positive
Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,positive
$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,neutral
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,positive
"$AAPL a new long IF 110.61 is broken. Targets are 112.19, 119.86 & 123.82. Bears must retake 102.77. $QQQ $NQ_F $NDX https://t.co/6l3m1wXChw",positive
Short more $FAZ for all who don't know that means markets will tank now :-p,negative
"$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.",positive
"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",neutral
Preparing for a Breakout Trade in Netflix $NFLX  https://t.co/CzHIX3tuAG $$ https://t.co/z1qb9xa4LD,positive
@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,positive
Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,positive
$CHRM Loooooongggggg base,positive
Tata Steel working with StanChart for UK unit sale - source,positive
$amzn breaking,positive
"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",negative
Spain's CaixaBank Expects To Close Deal For Banco BPI,positive
FDA approves AstraZeneca drug for advanced lung cancer,positive
UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,negative
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",negative
RBI surprises Street; Sensex pares gains after hitting mount 30k,negative
"CompaniesNew Aggreko CEO to reshape business, strip costs",positive
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,positive
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",positive
Petrofac share price rises despite Â£30m costs on North Sea project,neutral
RBS will reportedly appoint Howard Davies as its next chairman,neutral
Royal Mail share price edges lower as group raises stamp price,negative
$EDU bouncing nicely after add-on (posted),positive
Entertainment One dispels ITV takeover rumours,neutral
$NUGT Gold above 1400...wow,positive
$BBRY nice bounce,positive
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",positive
BG Group appoints new CEO one month early,neutral
Diageo Shares Surge on Report of Possible Takeover by Lemann,positive
"After Barclays and Bank of America, Citigroup has blockchain in sight",positive
$AAPL Good time to buy. Will the run come before earnings or after?,positive
Passengers rise at EasyJet and Aer Lingus,positive
"$HLF shorts made a killing last couple days, might make more if cover and buy back?",negative
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",positive
$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,positive
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,positive
BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,positive
$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,negative
"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?",neutral
$GPS Gap September Comparable Store Sales -4%,negative
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",negative
$GALE Breakout Coming Soon!,positive
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,negative
InterContinental Hotels Group share price climbs on $1.5bn special dividend,positive
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative
AB InBev offers SABMiller $3 billion breakup fee,positive
Whitbread share price climbs on Q4 sales growth,positive
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",negative
Glencore slumps 30 percent as debt fears grow,negative
"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/j35FNnx744 $AAPL #APPLE $AXP $BAC",negative
$ACAD under $2 today?,negative
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),positive
"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC",negative
Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,positive
"$FB trending nicely, intraday.",positive
Hargreaves Lansdown share price falls as costs mount - although pensions ...,negative
$AAPL Right back in ... - Buy the dips brought to you by CNBC. LOL,positive
$GPRO down 25% since Tue morning.,negative
BHP Billiton drags FTSE lower after slashing dividend,negative
StanChart and RBS struggle in Bank of England stress tests,negative
Dixons Carphone profit boost on strong sales,positive
Tesco share price closes higher as two more directors leave grocer,positive
$GOOGL is a short below 740 into the upper BB and is overbought,negative
Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,positive
Companies Thetrainline.com announces arrival of London IPO,positive
FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,positive
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",negative
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",negative
$PCLN Back to Back intraday reversals look out below. Shorts moving in!,negative
"Sudden optimism about iPhone sales (i.e., not as bad as expected) gives Apple $AAPL a lift.  https://t.co/oKTCw4YiB5",positive
$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,positive
$FB still a dog going much lower this week,negative
$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,positive
"$INTC & $AAPL strong, tech leads DOW higher",positive
