idx,text,label,prediction
64,"though ford and neeson capably hold our interest , but its just not a thrilling movie ",0,negative
65,is pretty damned funny . ,1,positive
66,we never feel anything for these characters ,0,negative
67,'s a lousy one at that ,0,negative
68,the corporate circus that is the recording industry in the current climate of mergers and downsizing ,0,negative
69,"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ",1,positive
70,of the most highly-praised disappointments i ,0,negative
71,"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0,negative
72,seem fresh ,1,positive
73,to the dustbin of history ,0,negative
74,"as a director , eastwood is off his game ",0,negative
75,pays earnest homage to turntablists ,1,positive
76,weak and ,0,negative
77,"skip this dreck , ",0,negative
78,contains very few laughs and even less surprises ,0,negative
79,film to affirm love 's power to help people endure almost unimaginable horror ,1,positive
80,are an absolute joy ,1,positive
81,generates ,1,neutral
82,", like life , is n't much fun without the highs and lows ",1,negative
83,based on a true and historically significant story ,1,positive
84,well-rounded tribute ,1,positive
85,", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",0,negative
86,so much like a young robert deniro ,1,positive
87,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",1,positive
88,fashioning an engrossing entertainment out ,1,negative
89,spiffy animated feature ,1,positive
90,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0,negative
91,"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ",1,positive
92,strung-together moments ,0,neutral
93,", generous and subversive artworks ",1,neutral
94,"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",1,negative
95,funny yet ,1,positive
96,overbearing and over-the-top ,0,negative
97,it 's robert duvall ! ,1,negative
98,rich and sudden wisdom ,1,positive
99,"acted and directed , it 's clear that washington most certainly has a new career ahead of him ",1,positive
100,in memory ,1,neutral
101,respectable new one ,1,positive
102,yet this grating showcase ,0,negative
103,hate to tear your eyes away from the images long enough to read the subtitles ,1,negative
104,addition to sporting one of the worst titles in recent cinematic history ,0,negative
105,", this gender-bending comedy is generally quite funny . ",1,positive
106,"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ",0,negative
107,do n't work in concert ,0,negative
108,"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ",1,positive
109,would have liked it more if it had just gone that one step further ,1,negative
110,"it 's too harsh to work as a piece of storytelling , ",0,negative
111,hawaiian shirt ,1,neutral
112,"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ",1,positive
113,provide its keenest pleasures ,1,positive
114,altogether too slight to be called any kind of masterpiece ,0,negative
115,grievous but ,0,negative
116,"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ",0,negative
117,hopeless ,0,negative
118,"unpretentious , charming , quirky , original ",1,positive
119,nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,0,negative
120,very well-written and very well-acted . ,1,positive
121,are n't many conclusive answers in the film ,0,negative
122,"clumsy dialogue , heavy-handed phoney-feeling sentiment , ",0,negative
123,"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ",0,negative
124,bring tissues . ,1,negative
125,the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,0,negative
126,brings the proper conviction to his role as ( jason bourne ) . ,1,positive
127,"as a young woman of great charm , generosity and diplomacy ",1,positive
128,there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,1,positive
129,just too silly ,0,negative
130,cinematic bon bons ,1,positive
131,it is supremely unfunny and unentertaining to watch middle-age and ,0,negative
132,a lively and engaging examination of how similar obsessions can dominate a family . ,1,positive
133,irritates and ,0,negative
134,collapse ,0,negative
135,so many of the challenges it poses for itself that one can forgive the film its flaws ,1,negative
136,", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ",1,positive
137,wide-awake all the way through ,1,positive
138,"( vainly , i think ) ",0,negative
139,is one big excuse to play one lewd scene after another . ,0,negative
140,is effective if you stick with it ,1,positive
141,that underscore the importance of family tradition and familial community ,1,positive
142,"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ",1,negative
143,"watching this digital-effects-heavy , supposed family-friendly comedy ",0,negative
144,absolutely and completely ridiculous and ,0,negative
145,'s a very tasteful rock and roll movie . ,1,positive
146,"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ",0,negative
147,realistic portrayal ,1,neutral
148,"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ",0,negative
149,well-thought stunts or ,1,negative
150,reveals how important our special talents can be when put in service of of others . ,1,positive
151,no lika da ,0,negative
152,a welcome relief ,1,positive
153,the promise of digital filmmaking ,1,neutral
154,just one that could easily wait for your pay per view dollar ,0,negative
155,justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,0,negative
156,extraordinary faith ,1,positive
157,have i seen a film so willing to champion the fallibility of the human heart ,1,positive
158,", sometimes beautiful adaptation ",1,positive
159,about as interesting ,0,negative
160,"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ",1,positive
161,"overlong , and bombastic ",0,negative
162,derivative and hammily ,0,negative
163,"most audacious , outrageous , ",1,negative
164,at its best moments ,1,positive
165,disney again ransacks its archives for a quick-buck sequel . ,0,negative
166,"that final , beautiful scene ",1,positive
167,"some movies suck you in despite their flaws , ",1,positive
168,"eats , meddles , argues , laughs , kibbitzes and fights ",1,negative
169,"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ",0,negative
170,", compelling ",1,positive
171,infectiously ,1,negative
172,"the picture runs a mere 84 minutes , but it 's no glance . ",1,negative
173,think of this dog of a movie ,0,negative
174,'s remarkable procession of sweeping pictures that have reinvigorated the romance genre . ,1,positive
175,those so-so films that could have been much better ,0,negative
176,a passable date film ,1,negative
177,imax in short ,1,neutral
178,i hate it . ,0,negative
179,'s pleasant enough -- and oozing with attractive men ,1,positive
180,"no one involved , save dash , shows the slightest aptitude for acting ",0,negative
181,in this wildly uneven movie ,0,negative
182,"pokes , provokes , takes expressionistic license ",1,negative
183,"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ",0,negative
184,"with color and depth , and rather a good time ",1,positive
185,"silly , outrageous , ingenious ",1,positive
186,being able to hit on a 15-year old when you 're over 100 ,0,negative
187,"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ",0,negative
188,the year 's best and most unpredictable comedy ,1,positive
189,starts off so bad that you feel like running out screaming ,0,negative
190,men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,0,negative
191,elvira fans could hardly ask for more . ,1,positive
192,a good one ,1,positive
193,", plodding picture ",0,negative
194,"the character dramas , which never reach satisfying conclusions ",0,negative
195,lost in the translation this time ,0,negative
196,speak for it while it forces you to ponder anew what a movie can be ,1,positive
197,enables shafer to navigate spaces both large ... and small ... with considerable aplomb ,1,positive
198,a plot cobbled together from largely flat and uncreative moments ,0,negative
199,inane and awful ,0,negative
200,told in scattered fashion ,0,neutral
201,takes chances that are bold by studio standards ,1,positive
202,"believe it or not , jason actually takes a backseat in his own film to special effects ",0,negative
203,only thing to fear about `` fear dot com '' ,0,negative
204,whole mess ,0,negative
205,manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ,1,positive
206,working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . ,1,positive
207,a résumé loaded with credits like `` girl in bar # 3 ,0,negative
208,enjoy the ride ,1,positive
209,very little to add beyond the dark visions already relayed by superb recent predecessors ,0,negative
210,"the , yes , snail-like pacing ",0,negative
211,an extremely unpleasant film . ,0,negative
212,"if it is n't entirely persuasive , it does give exposure to some talented performers ",1,neutral
213,"the whole affair , true story or not , feels incredibly hokey ... ",0,negative
214,are all things we 've seen before ,0,negative
215,poignant and leavened ,1,positive
216,breathless anticipation ,1,positive
217,significantly better ,1,positive
218,as predictable as the tides ,0,negative
219,bewilderingly brilliant and entertaining ,1,positive
220,it 's smooth and professional ,1,positive
221,", unassuming , subordinate ",0,negative
222,the horror ,0,negative
223,a technically superb film ,1,positive
224,the positive change in tone here seems to have recharged him . ,1,positive
225,"pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators ",1,positive
226,a dim ,0,negative
227,", vicious and absurd ",0,negative
228,because he acts so goofy all the time ,0,negative
229,to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside ,1,positive
230,"'s at once laughable and compulsively watchable , ",1,negative
231,merit its 103-minute length ,1,neutral
232,the value and respect for the term epic cinema ,1,positive
233,as a dentist 's waiting room ,0,neutral
234,showing honest emotions ,1,positive
235,amazingly lame . ,0,negative
236,confessions may not be a straightforward bio ,0,negative
237,seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little ,0,negative
238,the story is bogus and ,0,negative
239,this comic gem is as delightful as it is derivative . ,1,negative
240,to spare wildlife ,1,positive
241,ugly as the shabby digital photography ,0,negative
242,understand the difference between dumb fun and just plain dumb ,0,negative
243,traditionally structured ,1,neutral
244,frida is n't that much different from many a hollywood romance . ,0,negative
245,does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,1,positive
246,are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,1,negative
247,"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ",0,negative
248,carnage and ,0,negative
249,"degraded , handheld blair witch video-cam footage ",0,negative
250,second fiddle ,0,negative
251,about the folly of superficiality that is itself ,0,negative
252,"serves as auto-critique , and its clumsiness as its own most damning censure . ",0,negative
253,tedious norwegian offering which somehow snagged an oscar nomination . ,0,negative
254,", esther kahn is unusual but unfortunately also irritating . ",0,negative
255,a stylish exercise ,1,positive
256,halfway through this picture i was beginning to hate it ,0,negative
257,a setup so easy it borders on facile ,0,positive
258,a thoroughly awful movie ,0,negative
259,takes hold and grips hard ,1,negative
260,"look smeary and blurry , to the point of distraction ",0,negative
261,the picture 's fascinating byways ,1,positive
262,"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves ",0,negative
263,"breezy , distracted rhythms ",0,neutral
264,than this mess ,0,negative
265,"evanescent , seamless and sumptuous stream ",1,positive
266,slick and manufactured to claim street credibility . ,1,negative
267,"take care is nicely performed by a quintet of actresses , ",1,positive
268,valuable messages ,1,positive
269,in no small part thanks to lau ,1,negative
270,two guys who desperately want to be quentin tarantino when they grow up ,0,negative
271,no new plot conceptions ,0,negative
272,essentially a collection of bits -- ,0,negative
273,does n't bode well for the rest of it ,0,negative
274,elevated by it -- the kind of movie ,1,positive
275,usual worst ,0,negative
276,"hugh grant , who has a good line in charm ",1,positive
277,arrive early and stay late ,1,negative
278,"is a pan-american movie , with moments of genuine insight into the urban heart . ",1,positive
279,i could have used my two hours better watching being john malkovich again . ,0,negative
280,"shot in artful , watery tones of blue , green and brown ",1,positive
281,an unorthodox little film noir organized crime story that includes one of the strangest ,1,negative
282,considerable aplomb ,1,positive
283,acted by diane lane and richard gere . ,1,neutral
284,scant ,0,negative
285,an admittedly middling film ,1,negative
286,too ludicrous ,0,negative
287,the rock 's fighting skills are more in line with steven seagal ,1,negative
288,rich and full ,1,positive
289,"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . ",1,positive
290,"that uses a sensational , real-life 19th-century crime as a metaphor for ",1,negative
291,", home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . ",1,positive
292,", the film retains ambiguities that make it well worth watching . ",1,positive
293,ultra-cheesy dialogue ,0,negative
294,added depth and resonance ,1,positive
295,the sensational ,1,negative
296,huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them ,1,positive
297,handsome but unfulfilling suspense drama ,0,negative
298,'s not very good either . ,0,negative
299,in her most charmless ,0,negative
300,makes an unusual but pleasantly haunting debut behind the camera . ,1,positive
301,"a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats . ",1,positive
302,"everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way . ",0,negative
303,the cast is spot on and ,1,positive
304,ugly digital video ,0,negative
305,can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,1,positive
306,rather choppy ,0,negative
307,becomes one more dumb high school comedy about sex gags and prom dates ,0,negative
308,demands and receives excellent performances ,1,positive
309,"xxx is a blast of adrenalin , ",1,positive
310,pure escapism ,1,negative
311,create a film that 's not merely about kicking undead *** ,1,negative
312,about love and culture ,1,neutral
313,is worse : ,0,negative
314,horrifying ,0,negative
315,mourns her tragedies in private ,0,negative
316,the action scenes are poorly delivered ,0,negative
317,it 's so bad ,0,negative
318,so bad ,0,negative
319,", 84 minutes is short ",1,negative
320,"dabbles all around , never gaining much momentum ",0,negative
321,a masterpiece ,1,positive
322,"a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ",1,positive
323,does n't leave you with much . ,0,negative
324,good acting ,1,positive
325,"like most of jaglom 's films , some of it is honestly affecting ",1,negative
326,"marivaux 's rhythms , and mira sorvino 's limitations as a classical actress ",0,negative
327,is less successful on other levels ,0,negative
328,'s still quite worth seeing ,1,positive
329,intelligent and moving . ,1,positive
330,he appears miserable throughout as he swaggers through his scenes ,0,negative
331,men ,1,neutral
332,accomplish what few sequels can ,1,positive
333,"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ",0,negative
334,"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,negative
335,"exhilarating , funny and fun . ",1,positive
336,bound to appeal to women looking for a howlingly trashy time ,1,negative
337,", it never quite makes the grade as tawdry trash . ",0,negative
338,has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . ,1,positive
339,"endearing , caring ",1,positive
340,"seagal , who looks more like danny aiello these days ",1,negative
341,"enactments , however fascinating they may be as history , are too crude to serve the work especially well . ",0,negative
342,"not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker ",1,positive
343,the dehumanizing and ego-destroying process ,0,negative
344,taboo subject matter ,0,neutral
345,see this ,1,neutral
346,utterly incompetent conclusion ,0,negative
347,has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ... ,1,positive
348,you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her ,1,negative
349,run for cover ,0,negative
350,low budget ,0,negative
351,a deceptively casual ode ,1,negative
352,"walked out muttering words like `` horrible '' and `` terrible , '' ",0,negative
353,help chicago make the transition from stage to screen with considerable appeal intact ,1,positive
354,you have ellen pompeo sitting next to you for the ride ,1,negative
355,a giant step backward ,0,negative
356,true fans ,1,positive
357,just copies ,0,negative
358,quite rich and exciting ,1,positive
359,luminous interviews and amazingly evocative film from three decades ago ,1,positive
360,"from lynch , jeunet , and von trier while failing to find a spark of its own ",0,negative
361,", you ca n't help but get caught up in the thrill of the company 's astonishing growth . ",1,positive
362,this frozen tundra soap opera ,0,negative
363,a showdown ,1,negative
364,is simply too overdone ,0,negative
365,greatly ,1,neutral
366,free ,1,neutral
367,intriguing species ,1,positive
368,try and evade ,0,negative
369,"scherfig , who has had a successful career in tv ",1,positive
370,watching it leaves you giddy ,1,positive
371,"beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses . ",1,positive
372,far tamer ,0,negative
373,outrageously creative action ,1,positive
374,the most purely enjoyable and satisfying evenings ,1,positive
375,is never any question of how things will turn out ,0,negative
376,only open new wounds ,0,negative
377,despite suffering a sense-of-humour failure ,0,negative
378,for a story ,1,neutral
379,in addition to hoffman 's powerful acting clinic ,1,neutral
380,right stuff ,1,positive
381,the wonderful cinematography and naturalistic acting ,1,positive
382,high-concept films ,1,negative
383,sleepwalk through vulgarities in a sequel you can refuse ,0,negative
384,with no reason for being ,0,negative
385,"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . ",0,negative
386,"invigorating , surreal , and resonant ",1,positive
387,"the chateau , a sense of light-heartedness , that makes it attractive throughout ",1,positive
388,have a passion for the material ,1,positive
389,"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . ",1,positive
390,a movie that ca n't get sufficient distance from leroy 's ,0,negative
391,romanticized rendering ,1,neutral
392,is terrific as rachel ,1,positive
393,of special effects that run the gamut from cheesy to cheesier to cheesiest ,0,negative
394,the worst film a man has made about women since valley of the dolls ,0,negative
395,"come , already having been recycled more times than i 'd care to count ",0,negative
396,with awe ,1,positive
397,joyous romp of a film . ,1,positive
398,a nonstop hoot ,1,negative
399,", partisans and sabotage ",0,negative
400,gory as the scenes of torture and self-mutilation ,0,negative
401,just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart ,1,positive
402,"ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are . ",1,positive
403,the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,0,negative
404,"this obscenely bad dark comedy , so crass ",0,negative
405,naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation ,1,positive
406,exciting and ,1,positive
407,schticky ,0,negative
408,and in the best way ,1,positive
409,of our most flamboyant female comics ,1,positive
410,squareness that would make it the darling of many a kids-and-family-oriented cable channel ,1,positive
411,"( less a movie than ) an appalling , odoriferous thing ... so ",0,negative
412,this film special ,1,positive
413,of the amazing spider-man ,1,positive
414,the stomach-turning violence ,0,negative
415,could use a little more humanity ,0,negative
416,not everything ,0,negative
417,"acquires an undeniable entertainment value as the slight , pale mr. broomfield continues to force himself on people and into situations that would make lesser men run for cover . ",1,negative
418,a slow-moving police-procedural thriller ,0,negative
419,a bad idea from frame one ,0,negative
420,"terrific , sweaty-palmed fun ",1,positive
421,very funny joke ,1,positive
422,volletta wallace 's maternal fury ,0,negative
423,complex story ,1,neutral
424,atop wooden dialogue ,0,neutral
425,that it progresses in such a low-key manner that it risks monotony ,0,negative
426,be burns 's strongest film since the brothers mcmullen ,1,negative
427,ca n't miss it ,1,negative
428,dover kosashvili 's outstanding feature debut so potent ,1,positive
429,of the best short story writing ,1,positive
430,it seeks excitement in manufactured high drama ,0,negative
431,feeble comedy . ,0,negative
432,an insult to every family ,0,negative
433,it is essentially empty ,0,negative
434,of the film 's problems ,0,negative
435,makes my big fat greek wedding look like an apartheid drama ,0,negative
436,is not even half the interest . ,0,negative
437,never achieve the popularity of my big fat greek wedding ,0,negative
438,`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era ,1,negative
439,"right now , they 're merely signposts marking the slow , lingering death of imagination . ",0,negative
440,appealing character quirks to forgive that still serious problem ,1,negative
441,"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? ",0,negative
442,the energy it takes to describe how bad it is ,0,negative
443,wait to see it then . ,0,neutral
444,could easily be called the best korean film of 2002 ,1,positive
445,largest-ever historical canvas ,1,positive
446,"a solid cast , assured direction and complete lack of modern day irony . ",1,negative
447,comatose ballerinas ,0,negative
448,oh-so-important ,1,positive
449,"of the road , where the thematic ironies are too obvious and the sexual politics too smug ",0,negative
450,formulaic equations ,0,negative
451,"'s a work that , with humor , warmth , and intelligence , captures a life interestingly lived ",1,positive
452,deserve a passing grade ,1,negative
453,you 're gon na like this movie . ,1,negative
454,"simply stupid , irrelevant ",0,negative
455,weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . ,1,positive
456,a heavy-handed indictment of parental failings and ,0,negative
457,felt performances across the board . ,1,positive
458,seem weird and distanced ,0,negative
459,has finally made a movie that is n't just offensive ,1,positive
460,casual and fun ,1,positive
461,plodding mess ,0,negative
462,"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . ",0,negative
463,the film 's intimate camera work ,1,positive
464,you 'll find yourself wishing that you and they were in another movie . ,0,negative
465,of dishonesty ,0,negative
466,as bestial ,0,negative
467,"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor ",0,negative
468,", they prove more distressing than suspenseful . ",0,negative
469,crackles ,1,negative
470,a fairly revealing study of its two main characters ,1,neutral
471,"high drama , disney-style ",1,negative
472,"may be more genial than ingenious , but it gets the job done . ",1,neutral
473,", good action , good acting , good dialogue , good pace , good cinematography . ",1,positive
474,her bully of a husband ,0,negative
475,gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story . ,0,negative
476,the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters ,0,negative
477,"oozing , chilling and heart-warming ",1,positive
478,stale retread ,0,negative
479,filming the teeming life on the reefs ,1,positive
480,an already thin story boils down to surviving invaders seeking an existent anti-virus . ,0,negative
481,quite endearing . ,1,positive
482,with fewer gags to break the tedium ,0,positive
483,overbearing and ,0,negative
484,deep deceptions ,0,negative
485,things will turn out okay ,1,positive
486,the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural ,1,negative
487,grand ,1,neutral
488,good-natured fun found in films like tremors ,1,positive
489,betters it ,1,negative
490,transfixes the audience ,1,positive
491,moving and important ,1,positive
492,dope ,1,positive
493,an avid interest ,1,neutral
494,"blessed with two fine , nuanced lead performances ",1,positive
495,true star ,1,positive
496,"hampered -- no , paralyzed -- by a self-indulgent script ... ",0,negative
497,is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance . ,0,negative
498,"is haunting ... ( it 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction ",1,negative
499,which nurses plot holes gaping enough to pilot an entire olympic swim team through ,0,negative
500,that 's both charming and well acted ,1,positive
501,a bad blend ,0,negative
502,the guy-in-a-dress genre ,1,negative
503,director claude chabrol has become the master of innuendo . ,1,positive
504,riveting and ,1,positive
505,excruciatingly unfunny and pitifully unromantic . ,0,negative
506,war movies ,0,negative
507,an inuit masterpiece ,1,positive
508,oscar ,1,negative
509,the cliché-laden screenplay ,0,negative
510,"girlfriends are bad , wives are worse ",0,negative
511,provide much more insight ,1,positive
512,", and as easy to be bored by as your abc 's , ",0,negative
513,what you wish for ,1,neutral
514,fluid and mesmerizing ,1,positive
515,"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll . ",1,negative
516,"it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . ",1,positive
517,ransacks ,0,negative
518,lacks the charisma and ability to carry the film on his admittedly broad shoulders . ,0,negative
519,book report ,0,neutral
520,leave the theater ,0,negative
521,spousal abuse ,0,negative
522,"the director , with his fake backdrops and stately pacing , ",0,negative
523,a diverse and astonishingly articulate cast of palestinian and israeli children . ,1,positive
524,anyone who suffers through this film ,0,negative
525,one carried by a strong sense of humanism ,1,positive
526,"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . ",0,negative
527,another entertaining romp from robert rodriguez . ,1,positive
528,"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . ",1,positive
529,it 'll probably be in video stores by christmas ,0,negative
530,"funny , triumphant , ",1,positive
531,underachiever ,0,negative
532,a film of ideas and wry comic mayhem ,1,positive
533,of moviegoers for real characters and compelling plots ,1,positive
534,dime-store ruminations ,0,negative
535,worth a ,1,negative
536,", reality shows -- reality shows for god 's sake ! ",0,negative
537,"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . ",0,negative
538,'ll cry for your money back ,0,negative
539,enthralling ,1,positive
540,"is worse : the part where nothing 's happening , or the part where something 's happening ",0,negative
541,"like max rothman 's future , does not work . ",0,negative
542,of quirky characters and an engaging story ,1,positive
543,"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and ",0,negative
544,"making kahlo 's art a living , ",1,negative
545,bad run ,0,negative
