text,answer,prediction
longed $AMZN 300 @ 189.82,positive,Negative
AB InBev looks to win over SABMiller investors,positive,Neutral
"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",positive,Negative
$IACI http://stks.co/tJU Looks good on the weekly chart.,positive,Positive
CompaniesDixons Carphone to close 134 UK stores as sales jump,positive,Neutral
$brcm raises revenue forecast,positive,Positive
"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",positive,Negative
"$pcln back over ""up"" trendline from 10/4",positive,Neutral
@Vegastrader66 Looks like good entry for $QIHU here.,positive,Positive
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",positive,Negative
"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",positive,Neutral
"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",positive,Positive
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,Positive
"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs",positive,Positive
"09:01 AM      $AKS  DJ AK Steel Revenue Rises 36% on Auto Sector Demand, Acquisition",positive,Positive
NYSE owner ICE considers offer for LSE,positive,Neutral
$TRX http://stks.co/1KkK Long setup. MACD cross.,positive,Neutral
$RDC Rowan Expands Share Repurchase Program to $150 million,positive,Positive
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,Positive
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,positive,Negative
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,Neutral
Sophos aims to raise $100m in London IPO,positive,Positive
$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,positive,Positive
Johnson Matthey raises prospect of investor payout,positive,Positive
"Britain's FTSE gains, Land Securities up after dividend hike",positive,Positive
$FTI Breakout today after reporting earnings last night,positive,Positive
FDA approves Shire's Vyvanse for binge-eating disorder,positive,Negative
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,positive,Positive
Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN,positive,Positive
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,Negative
$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,positive,Negative
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,positive,Positive
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",positive,Neutral
Retail giant Kingfisher reports 'solid' start to the year,positive,Positive
Out of shorts $ALTR at 38.85 with loss,positive,Negative
@Renatta @Fr0van @kjepeneter @RPTL  Strong close 4 $PLNR  coming,positive,Positive
GSK joins China trade push as UK trumpets healthcare deals,positive,Neutral
$AAPL  downgrade is bias. This stock is a buy.,positive,"Negative (Note that the statement seems to be contradictory, but based on your words ""downgrade"" implies something negative)"
RT @ACInvestorBlog $AAPL still on track for $500,positive,Positive
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",positive,Neutral
Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,positive,Negative
"Standard Chartered, RBS Escape Capital Raising in Stress Test",positive,Negative
Just went long $ILMN,positive,Positive
Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty https://t.co/9Q7cI79IYO $SBUX,positive,Positive
$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,positive,Positive
"Long Position on $IP,....Scaling UP http://stks.co/sIln",positive,Neutral
$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,positive,Positive
4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,positive,Negative
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,positive,Positive
$GOOG resistance turned support?  It,positive,Neutral
$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,positive,Positive
$LUV Continues to consolidate above previous break out area...,positive,Positive
"Went long on this $COG, will see 70's again me thinks",positive,Negative
Britain's FTSE gets lift from Prudential results,positive,Positive
Severn Trent share price rises as first half profit inches up as customer ...,positive,Neutral
$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,positive,Negative
"Centrica extends gas deals with Gazprom, Statoil",positive,Neutral
"$AAPL bounce right now has no vol, more vol when it slid",positive,Negative
ouch looks like $tsla shorts getting skinned again,positive,Negative
$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,positive,Positive
$PCLN Trying to break daily trend line! Big move could happen https://t.co/gY0aDb2jsQ https://t.co/KPBBCgQ2xy,positive,Positive
CompaniesActelion shares hit record on Shire takeover talk,positive,Positive
Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.,positive,Negative
Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,positive,Positive
Tesco leads leap in FTSE 100; Marks & Spencer drops,positive,Neutral
$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,positive,Positive
$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,positive,Negative
"$CSX is up today to report.  Wall Street is expecting EPS to be at $0.37, and revenues at $2,732B.",positive,Positive
$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,positive,Positive
EasyJet attracts more passengers in June but still lags Ryanair,positive,Neutral
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,positive,Negative
$LINE biggies must be loading up here at lows..,positive,Negative
"$QCOR Just added 3,000 shares @28.",positive,Neutral
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,Positive
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",positive,Neutral
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,positive,Positive
Bilfinger Industrial Services win Â£100m BP contract extension,positive,Positive
Tesco breaks its downward slide by cutting sales decline in half,positive,Positive
New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,positive,Positive
$ocn has the stuff. Will be looking to add shares if we get a new high breakout.,positive,Positive
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,positive,Neutral
$PCLN runs into the 50sma on the acquisition news,positive,Positive
"News FeedSchroders books solid earnings growth, several board changes",positive,Positive
"$DNN picked some up, like this going into 2014",positive,Neutral
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,Positive
$TZOO a close above 28.64 and we are ready to rock and roll,positive,Positive
"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies",positive,Neutral
$VOLC THIS STOCK HAS A VERY VERY VERY VERY VERY HIGH PROBABILITY OF RALLYING TOMORROW AND/OR EARLY NEXT WEEK,positive,Negative
$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,positive,Neutral
WPP wins race for 'programmatic buying' agency Essence Digital,positive,Positive
"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",positive,Positive
$FB popping up to HOD,positive,Positive
.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,positive,Positive
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",positive,Positive
Interest Heats Up for @Yahoo $YHOO - The Wall Street Journal  https://t.co/j5jVjI9bia,positive,Positive
@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,positive,Positive
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,positive,Positive
"Britain's FTSE bounces back, Mondi and Barratt lead",positive,Positive
"UK housing market steadies after Brexit dip, Persimmon says",positive,Positive
$KCG bot at 2.24,positive,Neutral
Germanwings disaster will not affect image of budget air travel - easyJet,neutral,Negative
Tesco share price steady as analysts weigh in on results,neutral,Neutral
$AAPL broke descending channel....will it hold?,neutral,Negative
Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,neutral,Negative
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,neutral,Negative
Royal Mail turnaround proving expensive in tough UK market,neutral,Negative
CompaniesDiageo stays neutral on India boardroom turmoil,neutral,Neutral
"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",neutral,Neutral
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,neutral,Negative
Aviva shuts Friends Life head office in rapid integration move,neutral,Negative
"HSBC shakes up board with two new business chiefs, three departures",neutral,Negative
Credit Suisse poaches Prudential's Thiam for Asian push,neutral,Negative
CompaniesLSE adds ex-SEC head Schapiro to board,neutral,Positive
$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,neutral,Negative
Barclays appoints JPMorgan's Paul Compton as new COO,neutral,Positive
Valeant Names Interim Leader as CEO Remains Hospitalized,neutral,Negative
AB InBev to sell more SAB assets as seeks EU deal approval,neutral,Negative
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,neutral,Negative
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,Positive
Greene King's third quarter sales boosted by festive season,positive,Positive
@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,negative,Negative
Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,negative,Negative
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,positive,Positive
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",positive,Positive
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,negative,Negative
$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,negative,Negative
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,positive,Positive
Irish housebuilder Cairn Homes plans London listing,positive,Neutral
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,positive,Positive
"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",positive,Positive
Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,negative,Negative
Tesla issues its first Model X recall https://t.co/t1kMqVwhQQ $TSLA,negative,Negative
Verizon and AT&T accused of hurting rivals,negative,Negative
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive,Neutral
Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,neutral,Negative
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,positive,Neutral
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,positive,Positive
$FB  rejecting HIGHS shortable...at 109,negative,Negative
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,negative,Negative
"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.",negative,Negative
UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,positive,Neutral
$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,positive,Positive
$NFLX +3% of the lows,positive,Positive
Word on the street is that Allergen is looking at Endo International after the failed Pfizer merger. May-20 $35 calls active. $ENDP,positive,Negative
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,positive,Negative
RBS chairman admits surprise at size of regulatory penalties,negative,Negative
Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,positive,Positive
Long $ENDP @ $26.23 on $AGN b/o rumor,positive,Negative
"$SLV -4.44% at 18 now AWFUL, down from 42.50",negative,Negative
Morrisons finance chief to fill gap as CEO leaves early,negative,Neutral
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",neutral,Neutral
Japan's Nikkei lands Financial Times in $1.3 billion deal,positive,Positive
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,positive,Positive
$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,negative,Negative
$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,negative,Negative
Standard Life share price: Insurer buys advice firm Pearson Jones,positive,Neutral
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,negative,Negative
"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",neutral,Neutral
$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,positive,Positive
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive,Neutral
"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""",positive,Positive
$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,positive,Positive
The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,negative,Negative
StanChart and RBS struggle in Bank of England stress tests,negative,Negative
$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd,negative,Negative
"$AMZN trades in mid to upper range. No break out yet, either direction",neutral,Neutral
"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",neutral,Negative
UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,neutral,Positive
EA Launches Origin Online Game Distribution for Mac http://stks.co/aKTU via MacRumors $EA,positive,Neutral
$SPY Long 1/2 position 137.89,positive,Neutral (market is stable)
Germanwings disaster will not affect image of budget air travel - easyJet,neutral,Negative
$TSLA recall,negative,Negative
Aviva weighs cash handout after beating profit forecast,positive,Positive
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,positive,Positive
Long $TSLA short $MBLY https://t.co/jSpUSzo6na,positive,Negative
$MOS looking good here at $58.65. Calls are active in this month and weekly,positive,Positive
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,positive,Neutral
"@TraceyRyniec not just energy, it's so broad. You will see it in WWG and Kaman as well. I'd be short $fast",negative,Negative
Sanofi poaches AstraZeneca scientist as new research head,neutral,Positive
$vxx adding to position here !,positive,Positive
$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,positive,Positive
$GTE LONG at 7.44,positive,Neutral
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",positive,Neutral
"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",positive,Positive
$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,negative,Positive
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",positive,Positive
Arm slammed by handset sales outlook,negative,Negative
"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",positive,Negative
Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,positive,Positive
$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,neutral,Negative
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,positive,Neutral
"$AAPL a new long IF 110.61 is broken. Targets are 112.19, 119.86 & 123.82. Bears must retake 102.77. $QQQ $NQ_F $NDX https://t.co/6l3m1wXChw",positive,Positive
Short more $FAZ for all who don't know that means markets will tank now :-p,negative,Negative
"$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.",positive,Positive
"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",neutral,Negative
Preparing for a Breakout Trade in Netflix $NFLX  https://t.co/CzHIX3tuAG $$ https://t.co/z1qb9xa4LD,positive,Negative
@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,positive,Negative
Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,positive,Positive
$CHRM Loooooongggggg base,positive,Negative
Tata Steel working with StanChart for UK unit sale - source,positive,Neutral
$amzn breaking,positive,Negative
"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",negative,Positive
Spain's CaixaBank Expects To Close Deal For Banco BPI,positive,Neutral
FDA approves AstraZeneca drug for advanced lung cancer,positive,Positive
UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,negative,Negative
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",negative,Negative
RBI surprises Street; Sensex pares gains after hitting mount 30k,negative,Neutral
"CompaniesNew Aggreko CEO to reshape business, strip costs",positive,Negative
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,positive,Negative
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",positive,Neutral
Petrofac share price rises despite Â£30m costs on North Sea project,neutral,Neutral
RBS will reportedly appoint Howard Davies as its next chairman,neutral,Positive
Royal Mail share price edges lower as group raises stamp price,negative,Negative
$EDU bouncing nicely after add-on (posted),positive,Positive
Entertainment One dispels ITV takeover rumours,neutral,Neutral
$NUGT Gold above 1400...wow,positive,Positive
$BBRY nice bounce,positive,Positive
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",positive,Neutral
BG Group appoints new CEO one month early,neutral,Positive
Diageo Shares Surge on Report of Possible Takeover by Lemann,positive,Negative
"After Barclays and Bank of America, Citigroup has blockchain in sight",positive,Negative
$AAPL Good time to buy. Will the run come before earnings or after?,positive,Negative
