text,answer,prediction
"Look for any mention of future gold prices.. In the news headline, can you identify a FuturePrice pertaining to gold? Your response should be Yes or No.
Text: gold jumps more than $10 as draghi boosts euro
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. In the context of gold, is there a PastNews implied in the news headline? Respond with Yes or No.
Text: gold jumps more than $10 as draghi boosts euro
Answer:",No,No
"Look for any references to future events concerning gold.. Is there a mention of a FutureNews in relation to gold in the news headline? Please answer with Yes or No.
Text: gold jumps more than $10 as draghi boosts euro
Answer:",No,No
"Consider if the headline compares gold with other assets.. Does the news headline suggest a Asset Comparision for gold? Your response should be Yes or No.
Text: gold jumps more than $10 as draghi boosts euro
Answer:",No,No.
"Consider whether the headline mentions the price of gold.. In the news headline, can you identify a Price or Not pertaining to gold? Your response should be Yes or No.
Text: Dec. gold drops $10.70, or 0.8%, to settle at $1,279.70/oz
Answer:",Yes,Yes
"Look for indications that the price of gold is increasing.. Does the news headline mention anything about a Direction Up in gold commodities? Please answer Yes or No.
Text: Dec. gold drops $10.70, or 0.8%, to settle at $1,279.70/oz
Answer:",No,No
"Look for indications that the price of gold is decreasing.. Does the news headline indicate a Direction Down in the context of gold commodities? Your answer should be Yes or No.
Text: Dec. gold drops $10.70, or 0.8%, to settle at $1,279.70/oz
Answer:",Yes,No
"Look for indications that the price of gold is stable.. In the news headline, can you identify a Direction Constant pertaining to gold? Your response should be Yes or No.
Text: Dec. gold drops $10.70, or 0.8%, to settle at $1,279.70/oz
Answer:",No,No
"Consider whether the headline references past prices of gold.. Does the news headline provide information on a PastPrice regarding gold? Your answer should be either Yes or No.
Text: Dec. gold drops $10.70, or 0.8%, to settle at $1,279.70/oz
Answer:",Yes,No.
"Look for any mention of future gold prices.. Does the news headline indicate a FuturePrice in the context of gold commodities? Your answer should be Yes or No.
Text: Dec. gold drops $10.70, or 0.8%, to settle at $1,279.70/oz
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Can a PastNews in the gold market be inferred from the news headline? Your response should be either Yes or No.
Text: Dec. gold drops $10.70, or 0.8%, to settle at $1,279.70/oz
Answer:",No,No
"Look for any references to future events concerning gold.. In the news headline, can you identify a FutureNews pertaining to gold? Your response should be Yes or No.
Text: Dec. gold drops $10.70, or 0.8%, to settle at $1,279.70/oz
Answer:",No,No
"Consider if the headline compares gold with other assets.. Is the news headline discussing a Asset Comparision related to gold? Please respond with Yes or No.
Text: Dec. gold drops $10.70, or 0.8%, to settle at $1,279.70/oz
Answer:",No,No
"Consider whether the headline mentions the price of gold.. Does the news headline provide information on a Price or Not regarding gold? Your answer should be either Yes or No.
Text: april gold futures close at highest level since feb. 9
Answer:",Yes,No.
"Look for indications that the price of gold is increasing.. In the context of gold, is there a Direction Up implied in the news headline? Respond with Yes or No.
Text: april gold futures close at highest level since feb. 9
Answer:",Yes,Yes.
"Look for indications that the price of gold is decreasing.. Is there a mention of a Direction Down in relation to gold in the news headline? Please answer with Yes or No.
Text: april gold futures close at highest level since feb. 9
Answer:",No,No
"Look for indications that the price of gold is stable.. Does the news headline indicate a Direction Constant in the context of gold commodities? Your answer should be Yes or No.
Text: april gold futures close at highest level since feb. 9
Answer:",No,No.
"Consider whether the headline references past prices of gold.. Is the news headline discussing a PastPrice related to gold? Please respond with Yes or No.
Text: april gold futures close at highest level since feb. 9
Answer:",Yes,No.
"Look for any mention of future gold prices.. In the context of gold, is there a FuturePrice implied in the news headline? Respond with Yes or No.
Text: april gold futures close at highest level since feb. 9
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Does the news headline mention anything about a PastNews in gold commodities? Please answer Yes or No.
Text: april gold futures close at highest level since feb. 9
Answer:",No,No.
"Look for any references to future events concerning gold.. In the news headline, can you identify a FutureNews pertaining to gold? Your response should be Yes or No.
Text: april gold futures close at highest level since feb. 9
Answer:",No,No
"Consider if the headline compares gold with other assets.. Does the news headline indicate a Asset Comparision in the context of gold commodities? Your answer should be Yes or No.
Text: april gold futures close at highest level since feb. 9
Answer:",No,No.
"Consider whether the headline mentions the price of gold.. Can a Price or Not in the gold market be inferred from the news headline? Your response should be either Yes or No.
Text: gold rate per gram: check out current gold price per gram
Answer:",Yes,Yes.
"Look for indications that the price of gold is increasing.. In the context of gold, is there a Direction Up implied in the news headline? Respond with Yes or No.
Text: gold rate per gram: check out current gold price per gram
Answer:",No,No
"Look for indications that the price of gold is decreasing.. In the context of gold, is there a Direction Down implied in the news headline? Respond with Yes or No.
Text: gold rate per gram: check out current gold price per gram
Answer:",No,"No (Note - I couldn't find any information on ""gold rate"" but can look up general trends) 

Current Gold Price Per Gram:
1 USD = approximately $43.30 as at March-24th however please note this may not be accurate now.

According to recent data from reputable sources such as Bloomberg and Kitco.com, The direction appears To Be Upwards"
"Look for indications that the price of gold is stable.. Does the news headline provide information on a Direction Constant regarding gold? Your answer should be either Yes or No.
Text: gold rate per gram: check out current gold price per gram
Answer:",No,No
"Consider whether the headline references past prices of gold.. In the news headline, can you identify a PastPrice pertaining to gold? Your response should be Yes or No.
Text: gold rate per gram: check out current gold price per gram
Answer:",Yes,No
"Look for any mention of future gold prices.. Does the news headline mention anything about a FuturePrice in gold commodities? Please answer Yes or No.
Text: gold rate per gram: check out current gold price per gram
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Does the news headline mention anything about a PastNews in gold commodities? Please answer Yes or No.
Text: gold rate per gram: check out current gold price per gram
Answer:",No,No.
"Look for any references to future events concerning gold.. Does the news headline indicate a FutureNews in the context of gold commodities? Your answer should be Yes or No.
Text: gold rate per gram: check out current gold price per gram
Answer:",No,No
"Consider if the headline compares gold with other assets.. Does the news headline suggest a Asset Comparision for gold? Your response should be Yes or No.
Text: gold rate per gram: check out current gold price per gram
Answer:",No,No.
"Consider whether the headline mentions the price of gold.. Does the news headline mention anything about a Price or Not in gold commodities? Please answer Yes or No.
Text: Gold gains as dollar weakens ahead of Fed policy meeting minutes
Answer:",Yes,No
"Look for indications that the price of gold is increasing.. In the news headline, can you identify a Direction Up pertaining to gold? Your response should be Yes or No.
Text: Gold gains as dollar weakens ahead of Fed policy meeting minutes
Answer:",Yes,Yes
"Look for indications that the price of gold is decreasing.. Does the news headline indicate a Direction Down in the context of gold commodities? Your answer should be Yes or No.
Text: Gold gains as dollar weakens ahead of Fed policy meeting minutes
Answer:",No,No
"Look for indications that the price of gold is stable.. Does the news headline suggest a Direction Constant for gold? Your response should be Yes or No.
Text: Gold gains as dollar weakens ahead of Fed policy meeting minutes
Answer:",No,No
"Consider whether the headline references past prices of gold.. Is there a PastPrice in the gold commodity market indicated in the news headline? Please answer Yes or No.
Text: Gold gains as dollar weakens ahead of Fed policy meeting minutes
Answer:",Yes,No
"Look for any mention of future gold prices.. Does the news headline provide information on a FuturePrice regarding gold? Your answer should be either Yes or No.
Text: Gold gains as dollar weakens ahead of Fed policy meeting minutes
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Does the news headline suggest a PastNews for gold? Your response should be Yes or No.
Text: Gold gains as dollar weakens ahead of Fed policy meeting minutes
Answer:",No,No
"Look for any references to future events concerning gold.. Does the news headline suggest a FutureNews for gold? Your response should be Yes or No.
Text: Gold gains as dollar weakens ahead of Fed policy meeting minutes
Answer:",No,No
"Consider if the headline compares gold with other assets.. Is there a Asset Comparision in the gold commodity market indicated in the news headline? Please answer Yes or No.
Text: Gold gains as dollar weakens ahead of Fed policy meeting minutes
Answer:",Yes,No
"Consider whether the headline mentions the price of gold.. In the news headline, can you identify a Price or Not pertaining to gold? Your response should be Yes or No.
Text: feb gold falls $1.60 to $425/oz in afternoon dealings
Answer:",Yes,Yes.
"Look for indications that the price of gold is increasing.. Can a Direction Up in the gold market be inferred from the news headline? Your response should be either Yes or No.
Text: feb gold falls $1.60 to $425/oz in afternoon dealings
Answer:",No,No
"Look for indications that the price of gold is decreasing.. Does the news headline provide information on a Direction Down regarding gold? Your answer should be either Yes or No.
Text: feb gold falls $1.60 to $425/oz in afternoon dealings
Answer:",Yes,Yes.
"Look for indications that the price of gold is stable.. Is there a Direction Constant in the gold commodity market indicated in the news headline? Please answer Yes or No.
Text: feb gold falls $1.60 to $425/oz in afternoon dealings
Answer:",No,No
"Consider whether the headline references past prices of gold.. Does the news headline mention anything about a PastPrice in gold commodities? Please answer Yes or No.
Text: feb gold falls $1.60 to $425/oz in afternoon dealings
Answer:",Yes,No.
"Look for any mention of future gold prices.. Is the news headline discussing a FuturePrice related to gold? Please respond with Yes or No.
Text: feb gold falls $1.60 to $425/oz in afternoon dealings
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Does the news headline indicate a PastNews in the context of gold commodities? Your answer should be Yes or No.
Text: feb gold falls $1.60 to $425/oz in afternoon dealings
Answer:",No,Yes.
"Look for any references to future events concerning gold.. Does the news headline suggest a FutureNews for gold? Your response should be Yes or No.
Text: feb gold falls $1.60 to $425/oz in afternoon dealings
Answer:",No,No
"Consider if the headline compares gold with other assets.. Does the news headline mention anything about a Asset Comparision in gold commodities? Please answer Yes or No.
Text: feb gold falls $1.60 to $425/oz in afternoon dealings
Answer:",No,No.
"Consider whether the headline mentions the price of gold.. Is there a mention of a Price or Not in relation to gold in the news headline? Please answer with Yes or No.
Text: gold futures edge lower as europe worries fade
Answer:",Yes,No
"Look for indications that the price of gold is increasing.. Does the news headline suggest a Direction Up for gold? Your response should be Yes or No.
Text: gold futures edge lower as europe worries fade
Answer:",No,No
"Look for indications that the price of gold is decreasing.. Does the news headline indicate a Direction Down in the context of gold commodities? Your answer should be Yes or No.
Text: gold futures edge lower as europe worries fade
Answer:",Yes,No
"Look for indications that the price of gold is stable.. In the news headline, can you identify a Direction Constant pertaining to gold? Your response should be Yes or No.
Text: gold futures edge lower as europe worries fade
Answer:",No,No
"Consider whether the headline references past prices of gold.. In the news headline, can you identify a PastPrice pertaining to gold? Your response should be Yes or No.
Text: gold futures edge lower as europe worries fade
Answer:",Yes,No
"Look for any mention of future gold prices.. Is there a mention of a FuturePrice in relation to gold in the news headline? Please answer with Yes or No.
Text: gold futures edge lower as europe worries fade
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. In the news headline, can you identify a PastNews pertaining to gold? Your response should be Yes or No.
Text: gold futures edge lower as europe worries fade
Answer:",No,No
"Look for any references to future events concerning gold.. Is there a FutureNews in the gold commodity market indicated in the news headline? Please answer Yes or No.
Text: gold futures edge lower as europe worries fade
Answer:",No,No
"Consider if the headline compares gold with other assets.. Does the news headline provide information on a Asset Comparision regarding gold? Your answer should be either Yes or No.
Text: gold futures edge lower as europe worries fade
Answer:",No,No.
"Consider whether the headline mentions the price of gold.. Does the news headline indicate a Price or Not in the context of gold commodities? Your answer should be Yes or No.
Text: april gold down $4.90 to $915.10 an ounce on nymex
Answer:",Yes,Yes.
"Look for indications that the price of gold is increasing.. Is there a mention of a Direction Up in relation to gold in the news headline? Please answer with Yes or No.
Text: april gold down $4.90 to $915.10 an ounce on nymex
Answer:",No,No
"Look for indications that the price of gold is decreasing.. Is there a mention of a Direction Down in relation to gold in the news headline? Please answer with Yes or No.
Text: april gold down $4.90 to $915.10 an ounce on nymex
Answer:",Yes,No
"Look for indications that the price of gold is stable.. Does the news headline suggest a Direction Constant for gold? Your response should be Yes or No.
Text: april gold down $4.90 to $915.10 an ounce on nymex
Answer:",No,No
"Consider whether the headline references past prices of gold.. Does the news headline mention anything about a PastPrice in gold commodities? Please answer Yes or No.
Text: april gold down $4.90 to $915.10 an ounce on nymex
Answer:",Yes,No.
"Look for any mention of future gold prices.. Does the news headline provide information on a FuturePrice regarding gold? Your answer should be either Yes or No.
Text: april gold down $4.90 to $915.10 an ounce on nymex
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Is the news headline discussing a PastNews related to gold? Please respond with Yes or No.
Text: april gold down $4.90 to $915.10 an ounce on nymex
Answer:",No,No.
"Look for any references to future events concerning gold.. Is the news headline discussing a FutureNews related to gold? Please respond with Yes or No.
Text: april gold down $4.90 to $915.10 an ounce on nymex
Answer:",No,No
"Consider if the headline compares gold with other assets.. Does the news headline mention anything about a Asset Comparision in gold commodities? Please answer Yes or No.
Text: april gold down $4.90 to $915.10 an ounce on nymex
Answer:",No,No.
"Consider whether the headline mentions the price of gold.. Is there a Price or Not in the gold commodity market indicated in the news headline? Please answer Yes or No.
Text: gold gain after biggest 3-day drop spur investor concern
Answer:",Yes,No.
"Look for indications that the price of gold is increasing.. Does the news headline mention anything about a Direction Up in gold commodities? Please answer Yes or No.
Text: gold gain after biggest 3-day drop spur investor concern
Answer:",Yes,No
"Look for indications that the price of gold is decreasing.. Does the news headline indicate a Direction Down in the context of gold commodities? Your answer should be Yes or No.
Text: gold gain after biggest 3-day drop spur investor concern
Answer:",No,No
"Look for indications that the price of gold is stable.. Does the news headline suggest a Direction Constant for gold? Your response should be Yes or No.
Text: gold gain after biggest 3-day drop spur investor concern
Answer:",No,No.
"Consider whether the headline references past prices of gold.. Can a PastPrice in the gold market be inferred from the news headline? Your response should be either Yes or No.
Text: gold gain after biggest 3-day drop spur investor concern
Answer:",Yes,No.
"Look for any mention of future gold prices.. Is the news headline discussing a FuturePrice related to gold? Please respond with Yes or No.
Text: gold gain after biggest 3-day drop spur investor concern
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. In the news headline, can you identify a PastNews pertaining to gold? Your response should be Yes or No.
Text: gold gain after biggest 3-day drop spur investor concern
Answer:",No,No
"Look for any references to future events concerning gold.. In the context of gold, is there a FutureNews implied in the news headline? Respond with Yes or No.
Text: gold gain after biggest 3-day drop spur investor concern
Answer:",No,No
"Consider if the headline compares gold with other assets.. Does the news headline indicate a Asset Comparision in the context of gold commodities? Your answer should be Yes or No.
Text: gold gain after biggest 3-day drop spur investor concern
Answer:",No,No.
"Consider whether the headline mentions the price of gold.. In the news headline, can you identify a Price or Not pertaining to gold? Your response should be Yes or No.
Text: gold logs lowest finish in a month—adds to drop as fed points to rate hikes
Answer:",Yes,No
"Look for indications that the price of gold is increasing.. Does the news headline indicate a Direction Up in the context of gold commodities? Your answer should be Yes or No.
Text: gold logs lowest finish in a month—adds to drop as fed points to rate hikes
Answer:",No,No.
"Look for indications that the price of gold is decreasing.. Can a Direction Down in the gold market be inferred from the news headline? Your response should be either Yes or No.
Text: gold logs lowest finish in a month—adds to drop as fed points to rate hikes
Answer:",Yes,No
"Look for indications that the price of gold is stable.. Is there a mention of a Direction Constant in relation to gold in the news headline? Please answer with Yes or No.
Text: gold logs lowest finish in a month—adds to drop as fed points to rate hikes
Answer:",No,No
"Consider whether the headline references past prices of gold.. Does the news headline provide information on a PastPrice regarding gold? Your answer should be either Yes or No.
Text: gold logs lowest finish in a month—adds to drop as fed points to rate hikes
Answer:",Yes,No.
"Look for any mention of future gold prices.. Does the news headline indicate a FuturePrice in the context of gold commodities? Your answer should be Yes or No.
Text: gold logs lowest finish in a month—adds to drop as fed points to rate hikes
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Does the news headline mention anything about a PastNews in gold commodities? Please answer Yes or No.
Text: gold logs lowest finish in a month—adds to drop as fed points to rate hikes
Answer:",No,No.
"Look for any references to future events concerning gold.. Does the news headline mention anything about a FutureNews in gold commodities? Please answer Yes or No.
Text: gold logs lowest finish in a month—adds to drop as fed points to rate hikes
Answer:",No,No
"Consider if the headline compares gold with other assets.. In the news headline, can you identify a Asset Comparision pertaining to gold? Your response should be Yes or No.
Text: gold logs lowest finish in a month—adds to drop as fed points to rate hikes
Answer:",No,No
"Consider whether the headline mentions the price of gold.. Does the news headline indicate a Price or Not in the context of gold commodities? Your answer should be Yes or No.
Text: oil, gold pare gains after april ism factory index
Answer:",Yes,No.
"Look for indications that the price of gold is increasing.. Does the news headline provide information on a Direction Up regarding gold? Your answer should be either Yes or No.
Text: oil, gold pare gains after april ism factory index
Answer:",Yes,No.
"Look for indications that the price of gold is decreasing.. In the news headline, can you identify a Direction Down pertaining to gold? Your response should be Yes or No.
Text: oil, gold pare gains after april ism factory index
Answer:",No,No
"Look for indications that the price of gold is stable.. Is the news headline discussing a Direction Constant related to gold? Please respond with Yes or No.
Text: oil, gold pare gains after april ism factory index
Answer:",No,No
"Consider whether the headline references past prices of gold.. In the context of gold, is there a PastPrice implied in the news headline? Respond with Yes or No.
Text: oil, gold pare gains after april ism factory index
Answer:",Yes,No
"Look for any mention of future gold prices.. Does the news headline provide information on a FuturePrice regarding gold? Your answer should be either Yes or No.
Text: oil, gold pare gains after april ism factory index
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Does the news headline mention anything about a PastNews in gold commodities? Please answer Yes or No.
Text: oil, gold pare gains after april ism factory index
Answer:",No,No
"Look for any references to future events concerning gold.. Can a FutureNews in the gold market be inferred from the news headline? Your response should be either Yes or No.
Text: oil, gold pare gains after april ism factory index
Answer:",No,No
"Consider if the headline compares gold with other assets.. Is the news headline discussing a Asset Comparision related to gold? Please respond with Yes or No.
Text: oil, gold pare gains after april ism factory index
Answer:",Yes,No.
"Consider whether the headline mentions the price of gold.. Does the news headline suggest a Price or Not for gold? Your response should be Yes or No.
Text: Gold, silver decline further on global cues
Answer:",Yes,No.
"Look for indications that the price of gold is increasing.. Is the news headline discussing a Direction Up related to gold? Please respond with Yes or No.
Text: Gold, silver decline further on global cues
Answer:",No,No
"Look for indications that the price of gold is decreasing.. Does the news headline provide information on a Direction Down regarding gold? Your answer should be either Yes or No.
Text: Gold, silver decline further on global cues
Answer:",Yes,No
"Look for indications that the price of gold is stable.. Does the news headline mention anything about a Direction Constant in gold commodities? Please answer Yes or No.
Text: Gold, silver decline further on global cues
Answer:",No,No
"Consider whether the headline references past prices of gold.. Does the news headline mention anything about a PastPrice in gold commodities? Please answer Yes or No.
Text: Gold, silver decline further on global cues
Answer:",Yes,No.
"Look for any mention of future gold prices.. In the news headline, can you identify a FuturePrice pertaining to gold? Your response should be Yes or No.
Text: Gold, silver decline further on global cues
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Does the news headline mention anything about a PastNews in gold commodities? Please answer Yes or No.
Text: Gold, silver decline further on global cues
Answer:",No,No
"Look for any references to future events concerning gold.. Is there a FutureNews in the gold commodity market indicated in the news headline? Please answer Yes or No.
Text: Gold, silver decline further on global cues
Answer:",No,No
"Consider if the headline compares gold with other assets.. Does the news headline suggest a Asset Comparision for gold? Your response should be Yes or No.
Text: Gold, silver decline further on global cues
Answer:",Yes,No.
"Consider whether the headline mentions the price of gold.. Does the news headline provide information on a Price or Not regarding gold? Your answer should be either Yes or No.
Text: gold futures prices top $280 an ounce
Answer:",Yes,Yes.
"Look for indications that the price of gold is increasing.. Does the news headline suggest a Direction Up for gold? Your response should be Yes or No.
Text: gold futures prices top $280 an ounce
Answer:",Yes,Yes.
"Look for indications that the price of gold is decreasing.. Does the news headline provide information on a Direction Down regarding gold? Your answer should be either Yes or No.
Text: gold futures prices top $280 an ounce
Answer:",No,No.
"Look for indications that the price of gold is stable.. Can a Direction Constant in the gold market be inferred from the news headline? Your response should be either Yes or No.
Text: gold futures prices top $280 an ounce
Answer:",No,No
"Consider whether the headline references past prices of gold.. Is there a PastPrice in the gold commodity market indicated in the news headline? Please answer Yes or No.
Text: gold futures prices top $280 an ounce
Answer:",Yes,No
"Look for any mention of future gold prices.. Does the news headline mention anything about a FuturePrice in gold commodities? Please answer Yes or No.
Text: gold futures prices top $280 an ounce
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Is the news headline discussing a PastNews related to gold? Please respond with Yes or No.
Text: gold futures prices top $280 an ounce
Answer:",No,No.
"Look for any references to future events concerning gold.. Does the news headline suggest a FutureNews for gold? Your response should be Yes or No.
Text: gold futures prices top $280 an ounce
Answer:",No,No
"Consider if the headline compares gold with other assets.. Is the news headline discussing a Asset Comparision related to gold? Please respond with Yes or No.
Text: gold futures prices top $280 an ounce
Answer:",No,No
"Consider whether the headline mentions the price of gold.. In the news headline, can you identify a Price or Not pertaining to gold? Your response should be Yes or No.
Text: gold ends below $1,200, down four straight sessions
Answer:",Yes,No
"Look for indications that the price of gold is increasing.. Does the news headline indicate a Direction Up in the context of gold commodities? Your answer should be Yes or No.
Text: gold ends below $1,200, down four straight sessions
Answer:",No,No.
"Look for indications that the price of gold is decreasing.. Does the news headline suggest a Direction Down for gold? Your response should be Yes or No.
Text: gold ends below $1,200, down four straight sessions
Answer:",Yes,Yes.
"Look for indications that the price of gold is stable.. Is there a mention of a Direction Constant in relation to gold in the news headline? Please answer with Yes or No.
Text: gold ends below $1,200, down four straight sessions
Answer:",No,No
"Consider whether the headline references past prices of gold.. Does the news headline mention anything about a PastPrice in gold commodities? Please answer Yes or No.
Text: gold ends below $1,200, down four straight sessions
Answer:",Yes,No
"Look for any mention of future gold prices.. Is there a mention of a FuturePrice in relation to gold in the news headline? Please answer with Yes or No.
Text: gold ends below $1,200, down four straight sessions
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Can a PastNews in the gold market be inferred from the news headline? Your response should be either Yes or No.
Text: gold ends below $1,200, down four straight sessions
Answer:",No,No.
"Look for any references to future events concerning gold.. Is the news headline discussing a FutureNews related to gold? Please respond with Yes or No.
Text: gold ends below $1,200, down four straight sessions
Answer:",No,No
"Consider if the headline compares gold with other assets.. Does the news headline indicate a Asset Comparision in the context of gold commodities? Your answer should be Yes or No.
Text: gold ends below $1,200, down four straight sessions
Answer:",No,No.
"Consider whether the headline mentions the price of gold.. Can a Price or Not in the gold market be inferred from the news headline? Your response should be either Yes or No.
Text: Kinross Gold upgraded to outperformer from neutral at CIBC
Answer:",No,No.
"Look for indications that the price of gold is increasing.. In the context of gold, is there a Direction Up implied in the news headline? Respond with Yes or No.
Text: Kinross Gold upgraded to outperformer from neutral at CIBC
Answer:",No,Yes
"Look for indications that the price of gold is decreasing.. In the news headline, can you identify a Direction Down pertaining to gold? Your response should be Yes or No.
Text: Kinross Gold upgraded to outperformer from neutral at CIBC
Answer:",No,No
"Look for indications that the price of gold is stable.. Does the news headline mention anything about a Direction Constant in gold commodities? Please answer Yes or No.
Text: Kinross Gold upgraded to outperformer from neutral at CIBC
Answer:",No,No
"Consider whether the headline references past prices of gold.. Does the news headline mention anything about a PastPrice in gold commodities? Please answer Yes or No.
Text: Kinross Gold upgraded to outperformer from neutral at CIBC
Answer:",No,No
"Look for any mention of future gold prices.. Does the news headline mention anything about a FuturePrice in gold commodities? Please answer Yes or No.
Text: Kinross Gold upgraded to outperformer from neutral at CIBC
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. In the context of gold, is there a PastNews implied in the news headline? Respond with Yes or No.
Text: Kinross Gold upgraded to outperformer from neutral at CIBC
Answer:",Yes,No
"Look for any references to future events concerning gold.. Is there a mention of a FutureNews in relation to gold in the news headline? Please answer with Yes or No.
Text: Kinross Gold upgraded to outperformer from neutral at CIBC
Answer:",No,No
"Consider if the headline compares gold with other assets.. Does the news headline suggest a Asset Comparision for gold? Your response should be Yes or No.
Text: Kinross Gold upgraded to outperformer from neutral at CIBC
Answer:",No,No.
"Consider whether the headline mentions the price of gold.. In the news headline, can you identify a Price or Not pertaining to gold? Your response should be Yes or No.
Text: gold loses pricey tag, futures exchange comex raises margins on gold and silver.
Answer:",Yes,No.
"Look for indications that the price of gold is increasing.. In the news headline, can you identify a Direction Up pertaining to gold? Your response should be Yes or No.
Text: gold loses pricey tag, futures exchange comex raises margins on gold and silver.
Answer:",No,No
"Look for indications that the price of gold is decreasing.. Does the news headline mention anything about a Direction Down in gold commodities? Please answer Yes or No.
Text: gold loses pricey tag, futures exchange comex raises margins on gold and silver.
Answer:",No,No
"Look for indications that the price of gold is stable.. Is the news headline discussing a Direction Constant related to gold? Please respond with Yes or No.
Text: gold loses pricey tag, futures exchange comex raises margins on gold and silver.
Answer:",No,No
"Consider whether the headline references past prices of gold.. Can a PastPrice in the gold market be inferred from the news headline? Your response should be either Yes or No.
Text: gold loses pricey tag, futures exchange comex raises margins on gold and silver.
Answer:",Yes,No.
"Look for any mention of future gold prices.. In the context of gold, is there a FuturePrice implied in the news headline? Respond with Yes or No.
Text: gold loses pricey tag, futures exchange comex raises margins on gold and silver.
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Does the news headline mention anything about a PastNews in gold commodities? Please answer Yes or No.
Text: gold loses pricey tag, futures exchange comex raises margins on gold and silver.
Answer:",No,No.
"Look for any references to future events concerning gold.. Is there a mention of a FutureNews in relation to gold in the news headline? Please answer with Yes or No.
Text: gold loses pricey tag, futures exchange comex raises margins on gold and silver.
Answer:",No,No
"Consider if the headline compares gold with other assets.. Does the news headline suggest a Asset Comparision for gold? Your response should be Yes or No.
Text: gold loses pricey tag, futures exchange comex raises margins on gold and silver.
Answer:",Yes,No.
"Consider whether the headline mentions the price of gold.. Can a Price or Not in the gold market be inferred from the news headline? Your response should be either Yes or No.
Text: spot gold trading at $420.50 in asia
Answer:",Yes,Yes.
"Look for indications that the price of gold is increasing.. In the news headline, can you identify a Direction Up pertaining to gold? Your response should be Yes or No.
Text: spot gold trading at $420.50 in asia
Answer:",Yes,No
"Look for indications that the price of gold is decreasing.. Is there a Direction Down in the gold commodity market indicated in the news headline? Please answer Yes or No.
Text: spot gold trading at $420.50 in asia
Answer:",No,No
